year,team,p_average
1968,Matra,8.111111111111112
1968,McLaren,9.79861111111111
1969,BMW *,28.0
1969,BRM,12.7
1969,Brabham,9.092424242424242
1969,Brabham *,8.0
1969,Cooper,14.0
1969,Cosworth,19.0
1969,Eagle,21.0
1969,Ferrari,13.015151515151517
1969,Lotus,10.16969696969697
1969,Lotus *,18.0
1969,Matra,6.28030303030303
1969,Matra *,11.0
1969,McLaren,8.666666666666668
1969,Tecno *,16.0
1970,BRM,13.499999999999998
1970,Bellasi,25.5
1970,Brabham,12.358974358974358
1970,De Tomaso,17.6
1970,Ferrari,9.858974358974358
1970,Lotus,12.619230769230768
1970,March,11.715384615384615
1970,Matra,9.26923076923077
1970,McLaren,12.967948717948719
1970,Surtees,12.714285714285714
1970,Tyrrell,15.0
1971,BRM,11.686363636363637
1971,Bellasi,20.0
1971,Brabham,14.696969696969695
1971,Ferrari,14.363636363636363
1971,Lotus,12.227272727272727
1971,March,15.765909090909094
1971,Matra,13.090909090909092
1971,McLaren,14.386363636363637
1971,Surtees,13.992424242424242
1971,Tyrrell,7.742424242424243
1972,BRM,18.094444444444445
1972,Brabham,13.972222222222221
1972,Connew,27.0
1972,Eifelland March,14.875
1972,Ferrari,12.555555555555557
1972,Lotus,12.305555555555555
1972,March,14.593055555555557
1972,Matra,11.333333333333334
1972,McLaren,8.055555555555555
1972,Politoys,26.0
1972,Surtees,16.393055555555556
1972,Tecno,25.45
1972,Tyrrell,11.180555555555555
1973,BRM,13.68888888888889
1973,Brabham,13.427777777777779
1973,Ensign,21.636363636363637
1973,Ferrari,15.433333333333334
1973,Iso-Marlboro,14.71111111111111
1973,Lotus,8.566666666666666
1973,March,15.455555555555554
1973,McLaren,8.955555555555554
1973,Shadow,16.107142857142858
1973,Surtees,15.327777777777778
1973,Tecno,22.0
1973,Tyrrell,6.988888888888889
1974,Amon,28.666666666666668
1974,BRM,17.266666666666666
1974,Brabham,14.228888888888887
1974,Ensign,22.88888888888889
1974,Ferrari,8.933333333333334
1974,Hesketh,14.923076923076923
1974,Iso-Marlboro,18.4
1974,Lola,12.9
1974,Lotus,12.237777777777778
1974,Lyncar,35.0
1974,Maki,31.5
1974,March,16.077777777777776
1974,McLaren,9.455555555555556
1974,Parnelli,17.5
1974,Penske,16.0
1974,Shadow,16.633333333333333
1974,Surtees,17.88095238095238
1974,Token,19.5
1974,Trojan,16.166666666666668
1974,Tyrrell,9.544444444444444
1975,BRM,20.0
1975,Berta,23.5
1975,Brabham,9.857142857142858
1975,Copersucar,17.25
1975,Ensign,17.1
1975,Ferrari,7.214285714285714
1975,Hesketh,10.083333333333332
1975,Hill,14.05
1975,Lola,17.5
1975,Lotus,14.202380952380953
1975,Lyncar,17.0
1975,Maki,26.333333333333332
1975,March,16.363095238095237
1975,McLaren,10.035714285714286
1975,Parnelli,14.333333333333334
1975,Penske,12.0
1975,Shadow,14.428571428571429
1975,Surtees,17.625
1975,Tyrrell,10.44047619047619
1975,Williams,18.615384615384617
1976,BRM,24.0
1976,Boro,19.333333333333332
1976,Brabham,15.755208333333334
1976,Copersucar,17.125
1976,Ensign,16.666666666666668
1976,Ferrari,10.947916666666666
1976,Hesketh,17.375
1976,Kojima,11.0
1976,Ligier,12.625
1976,Lotus,14.34375
1976,March,15.802083333333334
1976,McLaren,9.15625
1976,Parnelli,10.5
1976,Penske,10.84375
1976,Shadow,11.125
1976,Surtees,13.177777777777779
1976,Tyrrell,9.453125
1976,Williams,17.80952380952381
1977,Apollon,34.25
1977,BRM,23.2
1977,Boro,34.0
1977,Brabham,12.735294117647058
1977,Copersucar,12.785714285714286
1977,Ensign,14.176470588235293
1977,Ferrari,8.0
1977,Hesketh,17.410256410256412
1977,Kojima,16.5
1977,LEC,19.0
1977,Ligier,11.382352941176471
1977,Lotus,11.823529411764707
1977,March,18.405882352941177
1977,McLaren,11.99019607843137
1977,Penske,16.75
1977,Renault,24.714285714285715
1977,Shadow,13.058823529411764
1977,Surtees,13.470588235294118
1977,Tyrrell,13.205882352941176
1977,Wolf,9.058823529411764
1978,ATS,14.458333333333334
1978,Arrows,14.433333333333334
1978,Brabham,11.197916666666666
1978,Copersucar,11.4375
1978,Ensign,17.208333333333332
1978,Ferrari,9.84375
1978,Hesketh,25.0
1978,Ligier,8.1875
1978,Lotus,9.645833333333334
1978,March,33.0
1978,Martini,18.166666666666668
1978,McLaren,13.438541666666667
1978,Merzario,18.625
1978,Renault,15.714285714285714
1978,Shadow,15.9
1978,Surtees,17.125
1978,Theodore,23.0
1978,Tyrrell,12.46875
1978,Williams,12.25
1978,Wolf,12.28125
1979,ATS,17.214285714285715
1979,Alfa Romeo,19.4
1979,Arrows,13.6
1979,Brabham,15.722222222222223
1979,Copersucar,14.0
1979,Ensign,12.166666666666666
1979,Ferrari,5.2
1979,Ligier,11.433333333333334
1979,Lotus,13.28888888888889
1979,McLaren,12.033333333333333
1979,Merzario,21.0
1979,Rebaque,16.0
1979,Renault,15.5
1979,Shadow,13.678571428571429
1979,Tyrrell,10.744444444444445
1979,Williams,9.433333333333334
1979,Wolf,15.785714285714286
1980,ATS,13.166666666666666
1980,Alfa Romeo,16.464285714285715
1980,Arrows,13.535714285714286
1980,Brabham,10.75
1980,Ensign,15.944444444444445
1980,Ferrari,11.5
1980,Fittipaldi,13.214285714285714
1980,Ligier,9.285714285714286
1980,Lotus,14.607142857142858
1980,McLaren,12.892857142857142
1980,Merzario,28.0
1980,Osella,18.3
1980,Renault,13.25
1980,Shadow,13.0
1980,Tyrrell,13.535714285714286
1980,Williams,7.0
1981,ATS,17.09090909090909
1981,Alfa Romeo,12.577777777777778
1981,Arrows,15.033333333333333
1981,Brabham,9.866666666666667
1981,Ensign,14.25
1981,Ferrari,13.566666666666666
1981,Fittipaldi,17.65
1981,Ligier,13.21111111111111
1981,Lotus,14.166666666666666
1981,March,15.666666666666666
1981,McLaren,12.466666666666667
1981,Osella,15.772727272727273
1981,Renault,12.466666666666667
1981,Theodore,13.384615384615385
1981,Toleman,12.5
1981,Tyrrell,12.9
1981,Williams,7.466666666666667
1982,ATS,15.866666666666667
1982,Alfa Romeo,14.53125
1982,Arrows,11.714285714285714
1982,Brabham,14.633333333333333
1982,Ensign,20.2
1982,Ferrari,11.8125
1982,Fittipaldi,13.444444444444445
1982,Ligier,14.833333333333334
1982,Lotus,12.133333333333333
1982,March,15.923076923076923
1982,McLaren,10.2
1982,Osella,20.821428571428573
1982,Renault,11.78125
1982,Theodore,19.125
1982,Toleman,19.363636363636363
1982,Tyrrell,10.5
1982,Williams,8.933333333333334
1983,ATS,19.1
1983,Alfa Romeo,14.7
1983,Arrows,11.966666666666667
1983,Brabham,10.733333333333333
1983,Ferrari,8.666666666666666
1983,Ligier,14.466666666666667
1983,Lotus,16.233333333333334
1983,McLaren,13.880952380952381
1983,Osella,18.115384615384617
1983,RAM March,21.8
1983,Renault,9.3
1983,Spirit,16.666666666666668
1983,Theodore,15.461538461538462
1983,Toleman,14.4
1983,Tyrrell,15.2
1983,Williams,10.333333333333334
1984,ATS,16.133333333333333
1984,Alfa Romeo,14.03125
1984,Arrows,14.166666666666666
1984,Brabham,11.4375
1984,Ferrari,9.90625
1984,Ligier,14.78125
1984,Lotus,10.1875
1984,McLaren,6.916666666666667
1984,Osella,16.59375
1984,RAM,16.6
1984,Renault,11.71875
1984,Spirit,14.75
1984,Toleman,14.0625
1984,Tyrrell,25.846153846153847
1984,Williams,14.46875
1985,Alfa Romeo,16.84375
1985,Arrows,11.0625
1985,Brabham,13.21875
1985,Ferrari,9.125
1985,Ligier,12.933333333333334
1985,Lola,21.5
1985,Lotus,8.53125
1985,McLaren,9.5
1985,Minardi,17.2
1985,Osella,15.071428571428571
1985,RAM,18.653846153846153
1985,Renault,13.044444444444446
1985,Spirit,22.0
1985,Toleman,20.5625
1985,Tyrrell,11.114583333333334
1985,Williams,10.78125
1985,Zakspeed,21.545454545454547
1986,AGS,21.0
1986,Arrows,12.875
1986,Benetton,13.5
1986,Brabham,15.0
1986,Ekström,27.0
1986,Ferrari,11.53125
1986,Ligier,10.4375
1986,Lola,16.1875
1986,Lotus,11.1875
1986,McLaren,8.96875
1986,Minardi,18.933333333333334
1986,Osella,19.6
1986,RAM,26.0
1986,Tyrrell,12.46875
1986,Williams,5.90625
1986,Zakspeed,16.84375
