year,date,prix,winner,constructor,raceUrl
1990,27 May 1990,Monaco,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1990/races/67/monaco/race-result.html
1990,10 Jun 1990,Canada,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1990/races/68/canada/race-result.html
1990,24 Jun 1990,Mexico,"Alain
Prost
PRO",Ferrari,/en/results.html/1990/races/69/mexico/race-result.html
1990,08 Jul 1990,France,"Alain
Prost
PRO",Ferrari,/en/results.html/1990/races/70/france/race-result.html
1990,15 Jul 1990,Great Britain,"Alain
Prost
PRO",Ferrari,/en/results.html/1990/races/71/great-britain/race-result.html
1990,29 Jul 1990,Germany,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1990/races/72/germany/race-result.html
1990,12 Aug 1990,Hungary,"Thierry
Boutsen
BOU",Williams Renault,/en/results.html/1990/races/73/hungary/race-result.html
1990,26 Aug 1990,Belgium,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1990/races/74/belgium/race-result.html
1990,09 Sep 1990,Italy,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1990/races/75/italy/race-result.html
1990,23 Sep 1990,Portugal,"Nigel
Mansell
MAN",Ferrari,/en/results.html/1990/races/76/portugal/race-result.html
1990,30 Sep 1990,Spain,"Alain
Prost
PRO",Ferrari,/en/results.html/1990/races/77/spain/race-result.html
1990,21 Oct 1990,Japan,"Nelson
Piquet
PIQ",Benetton Ford,/en/results.html/1990/races/78/japan/race-result.html
1990,04 Nov 1990,Australia,"Nelson
Piquet
PIQ",Benetton Ford,/en/results.html/1990/races/79/australia/race-result.html
1991,10 Mar 1991,United States,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/559/united-states/race-result.html
1991,24 Mar 1991,Brazil,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/560/brazil/race-result.html
1991,28 Apr 1991,San Marino,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/561/san-marino/race-result.html
1991,12 May 1991,Monaco,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/562/monaco/race-result.html
1991,02 Jun 1991,Canada,"Nelson
Piquet
PIQ",Benetton Ford,/en/results.html/1991/races/563/canada/race-result.html
1991,16 Jun 1991,Mexico,"Riccardo
Patrese
PAT",Williams Renault,/en/results.html/1991/races/564/mexico/race-result.html
