year,date,prix,winner,constructor,raceUrl
2009,26 Jul 2009,Hungary,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2009/races/852/hungary/race-result.html
2009,23 Aug 2009,Europe,"Rubens
Barrichello
BAR",Brawn Mercedes,/en/results.html/2009/races/853/europe/race-result.html
2009,30 Aug 2009,Belgium,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2009/races/854/belgium/race-result.html
2009,13 Sep 2009,Italy,"Rubens
Barrichello
BAR",Brawn Mercedes,/en/results.html/2009/races/855/italy/race-result.html
2009,27 Sep 2009,Singapore,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2009/races/856/singapore/race-result.html
2009,04 Oct 2009,Japan,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2009/races/857/japan/race-result.html
2009,18 Oct 2009,Brazil,"Mark
Webber
WEB",RBR Renault,/en/results.html/2009/races/858/brazil/race-result.html
2009,01 Nov 2009,Abu Dhabi,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2009/races/859/abu-dhabi/race-result.html
2010,14 Mar 2010,Bahrain,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2010/races/860/bahrain/race-result.html
2010,28 Mar 2010,Australia,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2010/races/861/australia/race-result.html
2010,04 Apr 2010,Malaysia,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2010/races/862/malaysia/race-result.html
2010,18 Apr 2010,China,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2010/races/863/china/race-result.html
2010,09 May 2010,Spain,"Mark
Webber
WEB",RBR Renault,/en/results.html/2010/races/864/spain/race-result.html
2010,16 May 2010,Monaco,"Mark
Webber
WEB",RBR Renault,/en/results.html/2010/races/865/monaco/race-result.html
2010,30 May 2010,Turkey,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2010/races/866/turkey/race-result.html
2010,13 Jun 2010,Canada,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2010/races/867/canada/race-result.html
2010,27 Jun 2010,Europe,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2010/races/868/europe/race-result.html
2010,11 Jul 2010,Great Britain,"Mark
Webber
WEB",RBR Renault,/en/results.html/2010/races/869/great-britain/race-result.html
2010,25 Jul 2010,Germany,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2010/races/870/germany/race-result.html
2010,01 Aug 2010,Hungary,"Mark
Webber
WEB",RBR Renault,/en/results.html/2010/races/871/hungary/race-result.html
2010,29 Aug 2010,Belgium,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2010/races/872/belgium/race-result.html
2010,12 Sep 2010,Italy,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2010/races/873/italy/race-result.html
2010,26 Sep 2010,Singapore,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2010/races/874/singapore/race-result.html
2010,10 Oct 2010,Japan,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2010/races/875/japan/race-result.html
2010,24 Oct 2010,South Korea,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2010/races/876/south-korea/race-result.html
2010,07 Nov 2010,Brazil,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2010/races/877/brazil/race-result.html
2010,14 Nov 2010,Abu Dhabi,"Sebastian
Vettel
VET",RBR Renault,/en/results.html/2010/races/878/abu-dhabi/race-result.html
2011,27 Mar 2011,Australia,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/28/australia/race-result.html
2011,10 Apr 2011,Malaysia,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/29/malaysia/race-result.html
2011,17 Apr 2011,China,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2011/races/30/china/race-result.html
2011,08 May 2011,Turkey,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/31/turkey/race-result.html
2011,22 May 2011,Spain,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/32/spain/race-result.html
2011,29 May 2011,Monaco,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/33/monaco/race-result.html
2011,12 Jun 2011,Canada,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2011/races/34/canada/race-result.html
2011,26 Jun 2011,Europe,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/35/europe/race-result.html
2011,10 Jul 2011,Great Britain,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2011/races/36/great-britain/race-result.html
2011,24 Jul 2011,Germany,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2011/races/37/germany/race-result.html
2011,31 Jul 2011,Hungary,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2011/races/38/hungary/race-result.html
2011,28 Aug 2011,Belgium,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/39/belgium/race-result.html
2011,11 Sep 2011,Italy,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/40/italy/race-result.html
2011,25 Sep 2011,Singapore,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/41/singapore/race-result.html
2011,09 Oct 2011,Japan,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2011/races/42/japan/race-result.html
2011,16 Oct 2011,South Korea,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/43/south-korea/race-result.html
2011,30 Oct 2011,India,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2011/races/44/india/race-result.html
2011,13 Nov 2011,Abu Dhabi,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2011/races/45/abu-dhabi/race-result.html
2011,27 Nov 2011,Brazil,"Mark
Webber
WEB",Red Bull Racing Renault,/en/results.html/2011/races/46/brazil/race-result.html
2012,18 Mar 2012,Australia,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2012/races/10/australia/race-result.html
2012,25 Mar 2012,Malaysia,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2012/races/11/malaysia/race-result.html
2012,15 Apr 2012,China,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2012/races/12/china/race-result.html
2012,22 Apr 2012,Bahrain,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2012/races/13/bahrain/race-result.html
2012,13 May 2012,Spain,"Pastor
Maldonado
MAL",Williams Renault,/en/results.html/2012/races/14/spain/race-result.html
2012,27 May 2012,Monaco,"Mark
Webber
WEB",Red Bull Racing Renault,/en/results.html/2012/races/15/monaco/race-result.html
2012,10 Jun 2012,Canada,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2012/races/16/canada/race-result.html
2012,24 Jun 2012,Europe,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2012/races/17/europe/race-result.html
2012,08 Jul 2012,Great Britain,"Mark
Webber
WEB",Red Bull Racing Renault,/en/results.html/2012/races/4/great-britain/race-result.html
2012,22 Jul 2012,Germany,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2012/races/18/germany/race-result.html
2012,29 Jul 2012,Hungary,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2012/races/1/hungary/race-result.html
2012,02 Sep 2012,Belgium,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2012/races/19/belgium/race-result.html
2012,09 Sep 2012,Italy,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2012/races/20/italy/race-result.html
2012,23 Sep 2012,Singapore,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2012/races/21/singapore/race-result.html
2012,07 Oct 2012,Japan,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2012/races/22/japan/race-result.html
2012,14 Oct 2012,South Korea,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2012/races/23/south-korea/race-result.html
2012,28 Oct 2012,India,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2012/races/24/india/race-result.html
2012,04 Nov 2012,Abu Dhabi,"Kimi
RÃ¤ikkÃ¶nen
RAI",Lotus Renault,/en/results.html/2012/races/25/abu-dhabi/race-result.html
2012,18 Nov 2012,United States,"Lewis
Hamilton
HAM",McLaren Mercedes,/en/results.html/2012/races/26/united-states/race-result.html
2012,25 Nov 2012,Brazil,"Jenson
Button
BUT",McLaren Mercedes,/en/results.html/2012/races/27/brazil/race-result.html
2013,17 Mar 2013,Australia,"Kimi
RÃ¤ikkÃ¶nen
RAI",Lotus Renault,/en/results.html/2013/races/879/australia/race-result.html
2013,24 Mar 2013,Malaysia,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/880/malaysia/race-result.html
2013,14 Apr 2013,China,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2013/races/881/china/race-result.html
2013,21 Apr 2013,Bahrain,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/882/bahrain/race-result.html
2013,12 May 2013,Spain,"Fernando
Alonso
ALO",Ferrari,/en/results.html/2013/races/883/spain/race-result.html
2013,26 May 2013,Monaco,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2013/races/884/monaco/race-result.html
2013,09 Jun 2013,Canada,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/885/canada/race-result.html
2013,30 Jun 2013,Great Britain,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2013/races/886/great-britain/race-result.html
2013,07 Jul 2013,Germany,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/887/germany/race-result.html
2013,28 Jul 2013,Hungary,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2013/races/888/hungary/race-result.html
2013,25 Aug 2013,Belgium,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/889/belgium/race-result.html
2013,08 Sep 2013,Italy,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/890/italy/race-result.html
2013,22 Sep 2013,Singapore,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/891/singapore/race-result.html
2013,06 Oct 2013,South Korea,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/892/south-korea/race-result.html
2013,13 Oct 2013,Japan,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/893/japan/race-result.html
2013,27 Oct 2013,India,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/894/india/race-result.html
2013,03 Nov 2013,Abu Dhabi,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/895/abu-dhabi/race-result.html
2013,17 Nov 2013,United States,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/896/united-states/race-result.html
2013,24 Nov 2013,Brazil,"Sebastian
Vettel
VET",Red Bull Racing Renault,/en/results.html/2013/races/897/brazil/race-result.html
2014,16 Mar 2014,Australia,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2014/races/898/australia/race-result.html
2014,30 Mar 2014,Malaysia,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/899/malaysia/race-result.html
2014,04 Jun 2014,Bahrain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/900/bahrain/race-result.html
2014,20 Apr 2014,China,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/901/china/race-result.html
2014,11 May 2014,Spain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/902/spain/race-result.html
2014,25 May 2014,Monaco,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2014/races/903/monaco/race-result.html
2014,08 Jun 2014,Canada,"Daniel
Ricciardo
RIC",Red Bull Racing Renault,/en/results.html/2014/races/904/canada/race-result.html
2014,22 Jun 2014,Austria,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2014/races/905/austria/race-result.html
2014,06 Jul 2014,Great Britain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/906/great-britain/race-result.html
2014,20 Jul 2014,Germany,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2014/races/907/germany/race-result.html
2014,27 Jul 2014,Hungary,"Daniel
Ricciardo
RIC",Red Bull Racing Renault,/en/results.html/2014/races/908/hungary/race-result.html
2014,24 Aug 2014,Belgium,"Daniel
Ricciardo
RIC",Red Bull Racing Renault,/en/results.html/2014/races/909/belgium/race-result.html
2014,07 Sep 2014,Italy,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/910/italy/race-result.html
2014,21 Sep 2014,Singapore,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/911/singapore/race-result.html
2014,05 Oct 2014,Japan,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/912/japan/race-result.html
2014,21 Oct 2014,Russia,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/913/russia/race-result.html
2014,02 Nov 2014,United States,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/914/united-states/race-result.html
2014,09 Nov 2014,Brazil,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2014/races/915/brazil/race-result.html
2014,23 Nov 2014,Abu Dhabi,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2014/races/916/abu-dhabi/race-result.html
2015,15 Mar 2015,Australia,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/917/australia/race-result.html
2015,29 Mar 2015,Malaysia,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2015/races/918/malaysia/race-result.html
2015,12 Apr 2015,China,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/919/china/race-result.html
2015,19 Apr 2015,Bahrain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/920/bahrain/race-result.html
2015,10 May 2015,Spain,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2015/races/921/spain/race-result.html
2015,24 May 2015,Monaco,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2015/races/922/monaco/race-result.html
2015,07 Jun 2015,Canada,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/923/canada/race-result.html
2015,21 Jun 2015,Austria,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2015/races/924/austria/race-result.html
2015,05 Jul 2015,Great Britain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/925/great-britain/race-result.html
2015,26 Jul 2015,Hungary,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2015/races/927/hungary/race-result.html
2015,23 Aug 2015,Belgium,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/928/belgium/race-result.html
2015,06 Sep 2015,Italy,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/929/italy/race-result.html
2015,20 Sep 2015,Singapore,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2015/races/930/singapore/race-result.html
2015,27 Sep 2015,Japan,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/931/japan/race-result.html
2015,11 Oct 2015,Russia,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/932/russia/race-result.html
2015,25 Oct 2015,United States,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2015/races/933/united-states/race-result.html
2015,01 Nov 2015,Mexico,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2015/races/934/mexico/race-result.html
2015,15 Nov 2015,Brazil,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2015/races/935/brazil/race-result.html
2015,29 Nov 2015,Abu Dhabi,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2015/races/936/abu-dhabi/race-result.html
2016,20 Mar 2016,Australia,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/938/australia/race-result.html
2016,03 Apr 2016,Bahrain,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/939/bahrain/race-result.html
2016,17 Apr 2016,China,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/940/china/race-result.html
2016,01 May 2016,Russia,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/941/russia/race-result.html
2016,15 May 2016,Spain,"Max
Verstappen
VES",Red Bull Racing TAG Heuer,/en/results.html/2016/races/942/spain/race-result.html
2016,29 May 2016,Monaco,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/943/monaco/race-result.html
2016,12 Jun 2016,Canada,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/944/canada/race-result.html
2016,19 Jun 2016,Europe,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/958/europe/race-result.html
2016,03 Jul 2016,Austria,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/945/austria/race-result.html
2016,10 Jul 2016,Great Britain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/946/great-britain/race-result.html
2016,24 Jul 2016,Hungary,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/947/hungary/race-result.html
2016,31 Jul 2016,Germany,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/948/germany/race-result.html
2016,28 Aug 2016,Belgium,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/949/belgium/race-result.html
2016,04 Sep 2016,Italy,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/950/italy/race-result.html
2016,18 Sep 2016,Singapore,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/951/singapore/race-result.html
2016,02 Oct 2016,Malaysia,"Daniel
Ricciardo
RIC",Red Bull Racing TAG Heuer,/en/results.html/2016/races/952/malaysia/race-result.html
2016,09 Oct 2016,Japan,"Nico
Rosberg
ROS",Mercedes,/en/results.html/2016/races/953/japan/race-result.html
2016,23 Oct 2016,United States,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/954/united-states/race-result.html
2016,30 Oct 2016,Mexico,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/955/mexico/race-result.html
2016,13 Nov 2016,Brazil,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/956/brazil/race-result.html
2016,27 Nov 2016,Abu Dhabi,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2016/races/957/abu-dhabi/race-result.html
2017,26 Mar 2017,Australia,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2017/races/959/australia/race-result.html
2017,09 Apr 2017,China,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/960/china/race-result.html
2017,16 Apr 2017,Bahrain,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2017/races/961/bahrain/race-result.html
2017,30 Apr 2017,Russia,"Valtteri 
Bottas
BOT",Mercedes,/en/results.html/2017/races/962/russia/race-result.html
2017,14 May 2017,Spain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/963/spain/race-result.html
2017,28 May 2017,Monaco,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2017/races/964/monaco/race-result.html
2017,11 Jun 2017,Canada,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/965/canada/race-result.html
2017,25 Jun 2017,Azerbaijan,"Daniel
Ricciardo
RIC",Red Bull Racing TAG Heuer,/en/results.html/2017/races/966/azerbaijan/race-result.html
2017,09 Jul 2017,Austria,"Valtteri 
Bottas
BOT",Mercedes,/en/results.html/2017/races/967/austria/race-result.html
2017,16 Jul 2017,Great Britain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/968/great-britain/race-result.html
2017,30 Jul 2017,Hungary,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2017/races/969/hungary/race-result.html
2017,27 Aug 2017,Belgium,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/970/belgium/race-result.html
2017,03 Sep 2017,Italy,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/971/italy/race-result.html
2017,17 Sep 2017,Singapore,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/972/singapore/race-result.html
2017,01 Oct 2017,Malaysia,"Max
Verstappen
VER",Red Bull Racing TAG Heuer,/en/results.html/2017/races/973/malaysia/race-result.html
2017,08 Oct 2017,Japan,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/974/japan/race-result.html
2017,22 Oct 2017,United States,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2017/races/975/united-states/race-result.html
2017,29 Oct 2017,Mexico,"Max
Verstappen
VER",Red Bull Racing TAG Heuer,/en/results.html/2017/races/976/mexico/race-result.html
2017,12 Nov 2017,Brazil,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2017/races/977/brazil/race-result.html
2017,26 Nov 2017,Abu Dhabi,"Valtteri 
Bottas
BOT",Mercedes,/en/results.html/2017/races/978/abu-dhabi/race-result.html
2018,25 Mar 2018,Australia,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2018/races/979/australia/race-result.html
2018,08 Apr 2018,Bahrain,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2018/races/980/bahrain/race-result.html
2018,15 Apr 2018,China,"Daniel
Ricciardo
RIC",Red Bull Racing TAG Heuer,/en/results.html/2018/races/981/china/race-result.html
2018,29 Apr 2018,Azerbaijan,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/982/azerbaijan/race-result.html
2018,13 May 2018,Spain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/983/spain/race-result.html
2018,27 May 2018,Monaco,"Daniel
Ricciardo
RIC",Red Bull Racing TAG Heuer,/en/results.html/2018/races/984/monaco/race-result.html
2018,10 Jun 2018,Canada,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2018/races/985/canada/race-result.html
2018,24 Jun 2018,France,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/986/france/race-result.html
2018,01 Jul 2018,Austria,"Max
Verstappen
VER",Red Bull Racing TAG Heuer,/en/results.html/2018/races/987/austria/race-result.html
2018,08 Jul 2018,Great Britain,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2018/races/988/great-britain/race-result.html
2018,22 Jul 2018,Germany,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/989/germany/race-result.html
2018,29 Jul 2018,Hungary,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/990/hungary/race-result.html
2018,26 Aug 2018,Belgium,"Sebastian
Vettel
VET",Ferrari,/en/results.html/2018/races/991/belgium/race-result.html
2018,02 Sep 2018,Italy,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/992/italy/race-result.html
2018,16 Sep 2018,Singapore,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/993/singapore/race-result.html
2018,30 Sep 2018,Russia,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/994/russia/race-result.html
2018,07 Oct 2018,Japan,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/995/japan/race-result.html
2018,21 Oct 2018,United States,"Kimi
RÃ¤ikkÃ¶nen
RAI",Ferrari,/en/results.html/2018/races/996/united-states/race-result.html
2018,28 Oct 2018,Mexico,"Max
Verstappen
VER",Red Bull Racing TAG Heuer,/en/results.html/2018/races/997/mexico/race-result.html
2018,11 Nov 2018,Brazil,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/998/brazil/race-result.html
2018,25 Nov 2018,Abu Dhabi,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2018/races/999/abu-dhabi/race-result.html
2019,17 Mar 2019,Australia,"Valtteri
Bottas
BOT",Mercedes,/en/results.html/2019/races/1000/australia/race-result.html
2019,31 Mar 2019,Bahrain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2019/races/1001/bahrain/race-result.html
2019,14 Apr 2019,China,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2019/races/1002/china/race-result.html
2019,28 Apr 2019,Azerbaijan,"Valtteri
Bottas
BOT",Mercedes,/en/results.html/2019/races/1003/azerbaijan/race-result.html
2019,12 May 2019,Spain,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2019/races/1004/spain/race-result.html
2019,26 May 2019,Monaco,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2019/races/1005/monaco/race-result.html
2019,09 Jun 2019,Canada,"Lewis
Hamilton
HAM",Mercedes,/en/results.html/2019/races/1006/canada/race-result.html
