constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
25820,43,12,0.0,10,10,0,776
25830,44,5,0.0,9,9,0,777
25829,44,9,6.0,6,6,0,777
25828,44,8,4.0,7,7,0,777
25827,44,11,1.0,8,8,0,777
25826,44,7,9.0,5,5,0,777
25825,44,3,13.0,4,4,0,777
25824,44,4,31.0,3,3,0,777
25823,44,2,56.0,2,2,0,777
25822,44,1,128.0,11,E,5,777
25821,44,6,103.0,1,1,5,777
25831,44,12,0.0,10,10,0,777
25841,45,5,0.0,9,9,0,778
25840,45,9,16.0,5,5,0,778
25839,45,8,4.0,7,7,0,778
25838,45,11,1.0,8,8,0,778
25837,45,7,9.0,6,6,0,778
25836,45,3,18.0,4,4,0,778
25835,45,4,32.0,3,3,0,778
25834,45,2,61.0,2,2,0,778
25833,45,1,138.0,11,E,5,778
25832,45,6,111.0,1,1,5,778
25842,45,12,0.0,10,10,0,778
25852,46,5,0.0,9,9,0,779
25851,46,9,16.0,5,5,0,779
25850,46,8,4.0,7,7,0,779
25849,46,11,1.0,8,8,0,779
25848,46,7,12.0,6,6,0,779
25847,46,3,20.0,4,4,0,779
25846,46,4,33.0,3,3,0,779
25845,46,2,71.0,2,2,0,779
25844,46,1,138.0,11,E,6,779
25843,46,6,119.0,1,1,5,779
25853,46,12,0.0,10,10,0,779
25863,47,5,0.0,9,9,0,780
25862,47,9,16.0,5,5,0,780
25861,47,8,4.0,7,7,0,780
25860,47,11,1.0,8,8,0,780
25859,47,7,12.0,6,6,0,780
25858,47,3,22.0,4,4,0,780
25857,47,4,36.0,3,3,0,780
25856,47,2,77.0,2,2,0,780
25855,47,1,148.0,11,E,6,780
25854,47,6,137.0,1,1,6,780
25864,47,12,0.0,10,10,0,780
25874,48,5,0.0,9,9,0,781
25873,48,9,16.0,5,5,0,781
25872,48,8,4.0,7,7,0,781
25871,48,11,2.0,8,8,0,781
25870,48,7,12.0,6,6,0,781
25869,48,3,25.0,4,4,0,781
25868,48,4,38.0,3,3,0,781
25867,48,2,86.0,2,2,0,781
25866,48,1,166.0,11,E,7,781
25865,48,6,143.0,1,1,6,781
25875,48,12,0.0,10,10,0,781
25885,49,5,0.0,9,9,0,782
25884,49,9,18.0,5,5,0,782
25883,49,8,4.0,7,7,0,782
25882,49,11,2.0,8,8,0,782
25881,49,7,12.0,6,6,0,782
25880,49,3,28.0,4,4,0,782
25879,49,4,39.0,3,3,0,782
25878,49,2,90.0,2,2,0,782
25877,49,1,192.0,11,E,7,782
25876,49,6,161.0,1,1,7,782
25886,49,12,0.0,10,10,0,782
25896,50,5,0.0,10,10,0,783
25895,50,9,23.0,5,5,0,783
25894,50,8,4.0,7,7,0,783
25893,50,11,2.0,8,8,0,783
25892,50,7,12.0,6,6,0,783
25891,50,3,28.0,4,4,0,783
25890,50,4,51.0,3,3,0,783
25889,50,2,92.0,2,2,0,783
25888,50,1,202.0,11,E,8,783
25887,50,6,170.0,1,1,7,783
25897,50,12,1.0,9,9,0,783
25907,51,5,8.0,7,7,0,784
25906,51,9,24.0,5,5,0,784
25905,51,8,4.0,9,9,0,784
25904,51,11,6.0,8,8,0,784
25903,51,7,12.0,6,6,0,784
25902,51,3,28.0,4,4,0,784
25901,51,4,51.0,3,3,0,784
25900,51,2,94.0,2,2,0,784
25899,51,1,210.0,11,E,8,784
25898,51,6,186.0,1,1,8,784
25908,51,12,1.0,10,10,0,784
25918,52,5,8.0,7,7,0,785
25917,52,9,24.0,5,5,0,785
25916,52,8,4.0,9,9,0,785
25915,52,11,6.0,8,8,0,785
25914,52,7,13.0,6,6,0,785
25913,52,3,33.0,4,4,0,785
25912,52,4,51.0,3,3,0,785
25911,52,2,101.0,2,2,0,785
25910,52,1,118.0,11,E,8,785
25909,52,6,204.0,1,1,9,785
25919,52,12,1.0,10,10,0,785
6327,53,8,0.0,11,11,0,751
6326,53,13,0.0,10,10,0,751
6325,53,7,0.0,9,9,0,751
6324,53,2,0.0,8,8,0,751
6323,53,5,0.0,7,7,0,751
6322,53,9,1.0,6,6,0,751
6321,53,3,5.0,5,5,0,751
6320,53,11,5.0,4,4,0,751
6319,53,1,10.0,2,2,0,751
6318,53,6,8.0,3,3,0,751
6317,53,4,10.0,1,1,1,751
6338,54,8,0.0,11,11,0,752
6337,54,13,0.0,10,10,0,752
6336,54,7,1.0,7,7,0,752
6335,54,2,2.0,6,6,0,752
6334,54,5,0.0,9,9,0,752
6333,54,9,1.0,8,8,0,752
6332,54,3,5.0,5,5,0,752
6331,54,11,11.0,4,4,0,752
6330,54,1,15.0,3,3,0,752
6329,54,6,15.0,2,2,0,752
6328,54,4,28.0,1,1,2,752
6349,55,8,0.0,11,11,0,753
6348,55,13,0.0,10,10,0,753
6347,55,7,7.0,6,6,0,753
6346,55,2,10.0,5,5,0,753
6345,55,5,0.0,9,9,0,753
6344,55,9,2.0,8,8,0,753
6343,55,3,5.0,7,7,0,753
6342,55,11,13.0,4,4,0,753
6341,55,1,23.0,2,2,0,753
6340,55,6,15.0,3,3,0,753
6339,55,4,42.0,1,1,3,753
