year,constructor,constructor_clean,constructor_alt
1956,Kurtis Kraft Offenhauser,Kurtis Kraft,
1956,Kuzma Offenhauser,Kuzma,
1956,Lesovsky Offenhauser,Lesovsky,
1956,Maserati,Maserati,
1956,Phillips Offenhauser,Phillips,
1956,Stevens Offenhauser,Stevens,
1956,Vanwall,Vanwall,
1956,Watson Offenhauser,Watson,
1957,BRM,BRM,
1957,Connaught Alta,Connaught,
1957,Cooper Bristol,Cooper,
1957,Cooper Climax,Cooper,
1957,Dunn Offenhauser,Dunn,
1957,Epperly Offenhauser,Epperly,
1957,Ferrari,Ferrari,
1957,Kurtis Kraft Novi,Kurtis Kraft,
1957,Kurtis Kraft Offenhauser,Kurtis Kraft,
1957,Kuzma Offenhauser,Kuzma,
1957,Lesovsky Offenhauser,Lesovsky,
1957,Maserati,Maserati,
1957,Phillips Offenhauser,Phillips,
1957,Porsche (F2),Porsche,
1957,Vanwall,Vanwall,
1957,Watson Offenhauser,Watson,
1958,BRM,BRM,
1958,Connaught Alta,Connaught,
1958,Cooper Climax,Cooper,
1958,Dunn Offenhauser,Dunn,
1958,Epperly Offenhauser,Epperly,
1958,Ferrari,Ferrari,
1958,Kurtis Kraft Novi,Kurtis Kraft,
1958,Kurtis Kraft Offenhauser,Kurtis Kraft,
1958,Kuzma Offenhauser,Kuzma,
1958,Lesovsky Offenhauser,Lesovsky,
1958,Lotus Climax,Lotus,
1958,Maserati,Maserati,
1958,Phillips Offenhauser,Phillips,
1958,Porsche,Porsche,
1958,Vanwall,Vanwall,
1958,Watson Offenhauser,Watson,
1959,Aston Martin,Aston Martin,
1959,BRM,BRM,
1959,Christensen Offenhauser,Christensen,
1959,Connaught Alta,Connaught,
1959,Cooper Borgward,Cooper,
1959,Cooper Climax,Cooper,
1959,Cooper Maserati,Cooper,
1959,Cooper OSCA,Cooper,
1959,Dunn Offenhauser,Dunn,
1959,Elder Offenhauser,Elder,
1959,Epperly Offenhauser,Epperly,
1959,Ferrari,Ferrari,
1959,JBW Maserati,JBW,
1959,Kurtis Kraft Offenhauser,Kurtis Kraft,
1959,Kuzma Offenhauser,Kuzma,
1959,Lesovsky Offenhauser,Lesovsky,
1959,Lotus Climax,Lotus,
1959,Maserati,Maserati,
1959,Moore Offenhauser,Moore,
1959,Phillips Offenhauser,Phillips,
1959,Porsche,Porsche,
1959,Sutton Offenhauser,Sutton,
1959,Tec-Mec Maserati,Tec-Mec,
1959,Vanwall,Vanwall,
1959,Watson Offenhauser,Watson,
1960,Aston Martin,Aston Martin,
1960,Behra-Porsche,Behra-Porsche,
1960,BRM,BRM,
1960,Christensen Offenhauser,Christensen,
1960,Cooper Castellotti,Cooper,
1960,Cooper Climax,Cooper,
1960,Cooper Maserati,Cooper,
1960,Epperly Offenhauser,Epperly,
1960,Ewing Offenhauser,Ewing,
1960,Ferrari,Ferrari,
1960,JBW Maserati,JBW,
1960,Kurtis Kraft Offenhauser,Kurtis Kraft,
1960,Kuzma Offenhauser,Kuzma,
1960,Lesovsky Offenhauser,Lesovsky,
1960,Lotus Climax,Lotus,
1960,Maserati,Maserati,
1960,Meskowski Offenhauser,Meskowski,
1960,Phillips Offenhauser,Phillips,
1960,Porsche,Porsche,
1960,Scarab,Scarab,
1960,Trevis Offenhauser,Trevis,
1960,Vanwall,Vanwall,
1960,Watson Offenhauser,Watson,
1961,BRM Climax,BRM,
1961,Cooper Climax,Cooper,
1961,Cooper Maserati,Cooper,
1961,De Tomaso Alfa Romeo,De Tomaso,
1961,De Tomaso OSCA,De Tomaso,
1961,Ferguson Climax,Ferguson,
1961,Ferrari,Ferrari,
1961,Gilby Climax,Gilby,
1961,JBW Climax,JBW,
1961,Lotus Climax,Lotus,
1961,Lotus Maserati,Lotus,
1961,Porsche,Porsche,
1962,Brabham Climax,Brabham,
1962,BRM,BRM,
1962,Cooper Alfa Romeo,Cooper,
1962,Cooper Climax,Cooper,
1962,Emeryson Climax,Emeryson,
1962,ENB Maserati,ENB,
1962,Ferrari,Ferrari,
1962,Gilby BRM,Gilby,
1962,LDS Alfa Romeo,LDS,
1962,Lola Climax,Lola,
1962,Lotus BRM,Lotus,
1962,Lotus Climax,Lotus,
1962,Porsche,Porsche,
1963,Alfa Romeo,Alfa Romeo,
1963,ATS,A-T-S,
1963,Brabham Climax,Brabham,
1963,Brabham Ford,Brabham,
1963,BRM,BRM,
1963,BRP BRM,BRP,
1963,Cooper Climax,Cooper,
1963,Cooper Maserati,Cooper,
1963,Ferrari,Ferrari,
1963,Gilby BRM,Gilby,
1963,LDS Alfa Romeo,LDS,
1963,Lola Climax,Lola,
1963,Lotus BRM,Lotus,
1963,Lotus Climax,Lotus,
1963,Lotus Ford,Lotus,
1963,null,Independent,
1963,Porsche,Porsche,
1963,Scirocco BRM,Scirocco,
1963,Stebro Ford,Stebro,
1964,Brabham BRM,Brabham,
1964,Brabham Climax,Brabham,
1964,Brabham Ford,Brabham,
1964,BRM,BRM,
1964,BRP BRM,BRP,
1964,Cooper Climax,Cooper,
1964,Cooper Ford,Cooper,
1964,Derrington-Francis ATS,Derrington-Francis,
1964,Ferrari,Ferrari,
1964,Honda,Honda,
1964,Lotus BRM,Lotus,
1964,Lotus Climax,Lotus,
1964,null,Independent,
1964,Porsche,Porsche,
1964,Scirocco Climax,Scirocco,
1965,Alfa Romeo,Alfa Romeo,
1965,Brabham BRM,Brabham,
1965,Brabham Climax,Brabham,
1965,Brabham Ford,Brabham,
1965,BRM,BRM,
1965,Cooper Climax,Cooper,
1965,Ferrari,Ferrari,
1965,Honda,Honda,
1965,LDS Alfa Romeo,LDS,
1965,Lotus BRM,Lotus,
1965,Lotus Climax,Lotus,
1966,Brabham BRM,Brabham,
1966,Brabham Climax,Brabham,
1966,Brabham Repco,Brabham,
1966,BRM,BRM,
1966,Cooper Ferrari,Cooper,
1966,Cooper Maserati,Cooper,
1966,Eagle Climax,Eagle,
1966,Eagle Weslake,Eagle,
1966,Ferrari,Ferrari,
1966,Honda,Honda,
1966,Lotus BRM,Lotus,
1966,Lotus Climax,Lotus,
1966,Matra BRM,Matra,
1966,Matra Cosworth,Matra,
1966,McLaren Ford,McLaren,
1966,McLaren Serenissima,McLaren,
1966,null,Independent,
1966,Shannon Climax,Shadow,
1967,Brabham Climax,Brabham,
1967,Brabham Repco,Brabham,
1967,BRM,BRM,
1967,Cooper ATS,Cooper,
1967,Cooper Climax,Cooper,
1967,Cooper Maserati,Cooper,
1967,Eagle Climax,Eagle,
1967,Eagle Weslake,Eagle,
1967,Ferrari,Ferrari,
1967,Honda,Honda,
1967,LDS Climax,LDS,
1967,Lola BMW,Lola,
1967,Lotus BRM,Lotus,
1967,Lotus Climax,Lotus,
1967,Lotus Ford,Lotus,
1967,Matra Ford,Matra,
1967,McLaren BRM,McLaren,
1967,null,Independent,
1968,Brabham Climax,Brabham,
1968,Brabham Repco,Brabham,
1968,BRM,BRM,
1968,Cooper BRM,Cooper,
1968,Cooper Climax,Cooper,
1968,Cooper Maserati,Cooper,
1968,Eagle Weslake,Eagle,
1968,Ferrari,Ferrari,
1968,Honda,Honda,
1968,LDS Repco,LDS,
1968,Lola BMW,Lola,
1968,Lotus Ford,Lotus,
1968,Matra,Matra,
1968,Matra Ford,Matra,
1968,Mclaren BRM,McLaren,
1968,McLaren Ford,McLaren,
1969,Brabham Climax,Brabham,
1969,Brabham Ford,Brabham,
1969,Brabham Repco,Brabham,
1969,BRM,BRM,
1969,Cooper Maserati,Cooper,
1969,Eagle Climax,Eagle,
1969,Ferrari,Ferrari,
1969,Lotus Ford,Lotus,
1969,Matra Ford,Matra,
1969,McLaren Ford,McLaren,
1969,null,Independent,
1970,Bellasi Ford,Bellasi,
1970,Brabham Ford,Brabham,
1970,BRM,BRM,
1970,De Tomaso Ford,De Tomaso,
1970,Ferrari,Ferrari,
1970,Lotus Ford,Lotus,
1970,March Ford,March,
1970,Matra,Matra,
1970,McLaren Alfa Romeo,McLaren,
1970,McLaren Ford,McLaren,
1970,null,Independent,
1970,Surtees Ford,Surtees,
1970,Tyrrell Ford,Tyrrell,
1971,Bellasi Ford,Bellasi,
1971,Brabham Ford,Brabham,
1971,BRM,BRM,
1971,Ferrari,Ferrari,
1971,Lotus Ford,Lotus,
1971,Lotus Pratt & Whitney,Lotus,
1971,March Alfa Romeo,March,
1971,March Ford,March,
1971,Matra,Matra,
1971,McLaren Ford,McLaren,
1971,Surtees Ford,Surtees,
1971,Tyrrell Ford,Tyrrell,
1972,Brabham Ford,Brabham,
1972,BRM,BRM,
1972,Connew Ford,Connew,
1972,Eifelland Ford,Eifelland,
1972,Ferrari,Ferrari,
1972,Lotus Ford,Lotus,
1972,March Ford,March,
1972,Matra,Matra,
1972,McLaren Ford,McLaren,
1972,Politoys Ford,Politoys,
1972,Surtees Ford,Surtees,
1972,Tecno,Tecno,
1972,Tyrrell Ford,Tyrrell,
1973,Brabham Ford,Brabham,
1973,BRM,BRM,
1973,Ensign Ford,Ensign,
1973,Ferrari,Ferrari,
1973,Iso Marlboro Ford,Iso Marlboro,
1973,Lotus Ford,Lotus,
1973,March Ford,March,
1973,McLaren Ford,McLaren,
1973,Shadow Ford,Shadow,
1973,Surtees Ford,Surtees,
1973,Tecno,Tecno,
1973,Tyrrell Ford,Tyrrell,
1974,Amon Ford,Amon,
1974,Brabham Ford,Brabham,
1974,BRM,BRM,
1974,Ensign Ford,Ensign,
1974,Ferrari,Ferrari,
1974,Hesketh Ford,Hesketh,
1974,Iso Marlboro Ford,Iso Marlboro,
1974,Lola Ford,Lola,
1974,Lotus Ford,Lotus,
1974,March Ford,March,
1974,McLaren Ford,McLaren,
1974,Parnelli Ford,Parnelli,
1974,Penske Ford,Penske,
1974,Shadow Ford,Shadow,
1974,Surtees Ford,Surtees,
1974,Token Ford,Token,
1974,Trojan Ford,Trojan,
1974,Tyrrell Ford,Tyrrell,
1975,Brabham Ford,Brabham,
1975,BRM,BRM,
1975,Ensign Ford,Ensign,
1975,Ferrari,Ferrari,
1975,Fittipaldi Ford,Fittipaldi,
1975,Frank Williams Racing Cars/Williams,Williams,
1975,Hesketh Ford,Hesketh,
1975,Hill Ford,Hill,
1975,Lola Ford,Lola,
1975,Lotus Ford,Lotus,
1975,Lyncar Ford,Lyncar,
1975,March Ford,March,
1975,McLaren Ford,McLaren,
1975,Parnelli Ford,Parnelli,
1975,Penske Ford,Penske,
1975,Shadow Ford,Shadow,
1975,Shadow Matra,Shadow,
1975,Surtees Ford,Surtees,
1975,Tyrrell Ford,Tyrrell,
1976,Boro Ford,Boro,
1976,Brabham Alfa Romeo,Brabham,
1976,BRM,BRM,
1976,Ensign Ford,Ensign,
1976,Ferrari,Ferrari,
1976,Fittipaldi Ford,Fittipaldi,
1976,Hesketh Ford,Hesketh,
1976,Kojima Ford,Kojima,
1976,Ligier Matra,Ligier,
1976,Lotus Ford,Lotus,
1976,March Ford,March,
1976,McLaren Ford,McLaren,
1976,null,Independent,
1976,Parnelli Ford,Parnelli,
1976,Penske Ford,Penske,
1976,Shadow Ford,Shadow,
1976,Surtees Ford,Surtees,
1976,Tyrrell Ford,Tyrrell,
1976,Wolf-Williams,Williams,
1977,Boro Ford,Boro,
1977,Brabham Alfa Romeo,Brabham,
1977,BRM,BRM,
1977,Ensign Ford,Ensign,
1977,Ferrari,Ferrari,
1977,Fittipaldi Ford,Fittipaldi,
1977,Hesketh Ford,Hesketh,
1977,Kojima Ford,Kojima,
1977,LEC Ford,LEC,
1977,Ligier Matra,Ligier,
1977,Lotus Ford,Lotus,
1977,March Ford,March,
1977,McLaren Ford,McLaren,
1977,Penske Ford,Penske,
1977,Renault,Renault,
1977,Shadow Ford,Shadow,
1977,Surtees Ford,Surtees,
1977,Tyrrell Ford,Tyrrell,
1977,Wolf Ford,Wolf,
1978,Arrows Ford,Arrows,
1978,ATS Ford,ATS,
1978,Brabham Alfa Romeo,Brabham,
1978,Ensign Ford,Ensign,
1978,Ferrari,Ferrari,
1978,Fittipaldi Ford,Fittipaldi,
1978,Hesketh Ford,Hesketh,
1978,Ligier Matra,Ligier,
1978,Lotus Ford,Lotus,
1978,Martini Ford,Martini,
1978,McLaren Ford,McLaren,
1978,Merzario Ford,Merzario,
1978,Renault,Renault,
1978,Shadow Ford,Shadow,
1978,Surtees Ford,Surtees,
1978,Theodore Ford,Theodore,
1978,Tyrrell Ford,Tyrrell,
1978,Williams Ford,Williams,
1978,Wolf Ford,Wolf,
1979,Alfa Romeo,Alfa Romeo,
1979,Arrows Ford,Arrows,
1979,ATS Ford,ATS,
1979,Brabham Alfa Romeo,Brabham,
1979,Brabham Ford,Brabham,
1979,Ensign Ford,Ensign,
1979,Ferrari,Ferrari,
1979,Fittipaldi Ford,Fittipaldi,
1979,Ligier Ford,Ligier,
1979,Lotus Ford,Lotus,
1979,McLaren Ford,McLaren,
1979,Merzario Ford,Merzario,
1979,Rebaque Ford,Rebaque,
1979,Renault,Renault,
1979,Shadow Ford,Shadow,
1979,Tyrrell Ford,Tyrrell,
1979,Williams Ford,Williams,
1979,Wolf Ford,Wolf,
1980,Alfa Romeo,Alfa Romeo,
1980,Arrows Ford,Arrows,
1980,ATS Ford,ATS,
1980,Brabham Ford,Brabham,
1980,Ensign Ford,Ensign,
1980,Ferrari,Ferrari,
1980,Fittipaldi Ford,Fittipaldi,
1980,Ligier Ford,Ligier,
1980,Lotus Ford,Lotus,
1980,McLaren Ford,McLaren,
1980,Osella Ford,Osella,
1980,Renault,Renault,
1980,Shadow Ford,Shadow,
1980,Tyrrell Ford,Tyrrell,
1980,Williams Ford,Williams,
1981,Alfa Romeo,Alfa Romeo,
1981,Arrows Ford,Arrows,
1981,ATS Ford,ATS,
1981,Brabham Ford,Brabham,
1981,Ensign Ford,Ensign,
1981,Ferrari,Ferrari,
1981,Fittipaldi Ford,Fittipaldi,
1981,Ligier Matra,Ligier,
1981,Lotus Ford,Lotus,
1981,March Ford,March,
1981,McLaren Ford,McLaren,
1981,Osella Hart,Osella,
1981,Renault,Renault,
1981,Theodore Ford,Theodore,
1981,Toleman Hart,Toleman,
1981,Tyrrell Ford,Tyrrell,
1981,Williams Ford,Williams,
1982,Alfa Romeo,Alfa Romeo,
1982,Arrows Ford,Arrows,
1982,ATS Ford,ATS,
1982,Brabham BMW,Brabham,
1982,Brabham Ford,Brabham,
1982,Ensign Ford,Ensign,
1982,Ferrari,Ferrari,
1982,Fittipaldi Ford,Fittipaldi,
1982,Ligier Matra,Ligier,
1982,Lotus Ford,Lotus,
1982,March Ford,March,
1982,McLaren Ford,McLaren,
1982,Osella Ford,Osella,
1982,Renault,Renault,
1982,Theodore Ford,Theodore,
1982,Toleman Hart,Toleman,
1982,Tyrrell Ford,Tyrrell,
1982,Williams Ford,Williams,
1983,Alfa Romeo,Alfa Romeo,
1983,Arrows Ford,Arrows,
1983,ATS BMW,ATS,
1983,Brabham BMW,Brabham,
1983,Ferrari,Ferrari,
1983,Ligier Ford,Ligier,
1983,Lotus Ford,Lotus,
1983,Lotus Renault,Lotus,
1983,McLaren Ford,McLaren,
1983,McLaren TAG,McLaren,
1983,Osella Alfa Romeo,Osella,
1983,Osella Ford,Osella,
1983,RAM Ford,RAM,
1983,Renault,Renault,
1983,Spirit Honda,Spirit,
1983,Theodore Ford,Theodore,
1983,Toleman Hart,Toleman,
1983,Tyrrell Ford,Tyrrell,
1983,Williams Ford,Williams,
1983,Williams Honda,Williams,
1984,Alfa Romeo,Alfa Romeo,
1984,Arrows BMW,Arrows,
1984,Arrows Ford,Arrows,
1984,ATS BMW,ATS,
1984,Brabham BMW,Brabham,
1984,Ferrari,Ferrari,
1984,Ligier Renault,Ligier,
1984,Lotus Renault,Lotus,
1984,McLaren TAG,McLaren,
1984,Osella Alfa Romeo,Osella,
1984,RAM Hart,RAM,
1984,Renault,Renault,
1984,Spirit Hart,Spirit,
1984,Toleman Hart,Toleman,
1984,Williams Honda,Williams,
1985,Alfa Romeo,Alfa Romeo,
1985,Arrows BMW,Arrows,
1985,Brabham BMW,Brabham,
1985,Ferrari,Ferrari,
1985,Ligier Renault,Ligier,
1985,Lola Hart,Lola,
1985,Lotus Renault,Lotus,
1985,McLaren TAG,McLaren,
1985,Minardi Ford,Minardi,
1985,Minardi Motori Moderni,Minardi,
1985,Osella Alfa Romeo,Osella,
1985,RAM Hart,RAM,
1985,Renault,Renault,
1985,Spirit Hart,Spirit,
1985,Toleman Hart,Toleman,
1985,Tyrrell Ford,Tyrrell,
1985,Tyrrell Renault,Tyrrell,
1985,Williams Honda,Williams,
1985,Zakspeed,Zakspeed,
1986,AGS Motori Moderni,AGS,
1986,Arrows BMW,Arrows,
1986,Benetton BMW,Benetton,
1986,Brabham BMW,Brabham,
1986,Ferrari,Ferrari,
1986,Ligier Renault,Ligier,
1986,Lola Ford,Lola,
1986,Lola Hart,Lola,
1986,Lotus Renault,Lotus,
1986,McLaren TAG,McLaren,
1986,Minardi Motori Moderni,Minardi,
1986,Osella Alfa Romeo,Osella,
1986,Tyrrell Renault,Tyrrell,
1986,Williams Honda,Williams,
1986,Zakspeed,Zakspeed,
1987,AGS Ford,AGS,
1987,Arrows Megatron,Arrows,
1987,Benetton Ford,Benetton,
1987,Brabham BMW,Brabham,
1987,Coloni Ford,Coloni,
1987,Ferrari,Ferrari,
1987,Ligier Megatron,Ligier,
1987,Lola Ford,Lola,
1987,Lotus Honda,Lotus,
1987,March Ford,March,
1987,McLaren TAG,McLaren,
1987,Minardi Motori Moderni,Minardi,
1987,Osella Alfa Romeo,Osella,
1987,Tyrrell Ford,Tyrrell,
1987,Williams Honda,Williams,
1987,Zakspeed,Zakspeed,
1988,AGS Ford,AGS,
1988,Arrows Megatron,Arrows,
1988,Benetton Ford,Benetton,
1988,Coloni Ford,Coloni,
1988,Dallara Ford,Dallara,
1988,Euro Brun Ford,Euro Brun,
1988,Ferrari,Ferrari,
1988,Ligier Judd,Ligier,
1988,Lola Ford,Lola,
1988,Lotus Honda,Lotus,
1988,March Judd,March,
1988,McLaren Honda,McLaren,
1988,Minardi Ford,Minardi,
1988,Osella,Osella,
1988,Rial Ford,Rial,
1988,Tyrrell Ford,Tyrrell,
1988,Williams Judd,Williams,
1988,Zakspeed,Zakspeed,
1989,AGS Ford,AGS,
1989,Arrows Ford,Arrows,
1989,Benetton Ford,Benetton,
1989,Brabham Judd,Brabham,
1989,Coloni Ford,Coloni,
1989,Dallara Ford,Dallara,
1989,Ferrari,Ferrari,
1989,Ligier Ford,Ligier,
1989,Lola Lamborghini,Lola,
1989,Lotus Judd,Lotus,
1989,March Judd,March,
1989,McLaren Honda,McLaren,
1989,Minardi Ford,Minardi,
1989,Onyx Ford,Onyx,
1989,Osella Ford,Osella,
1989,Rial Ford,Rial,
1989,Tyrrell Ford,Tyrrell,
1989,Williams Renault,Williams,
1989,Zakspeed Yamaha,Zakspeed,
1990,AGS Ford,AGS,
1990,Arrows Ford,Arrows,
1990,Benetton Ford,Benetton,
1990,Brabham Judd,Brabham,
1990,Dallara Ford,Dallara,
1990,Euro Brun Judd,Euro Brun,
1990,Ferrari,Ferrari,
1990,Leyton House Judd,Leyton House,
1990,Ligier Ford,Ligier,
1990,Lola Lamborghini,Lola,
1990,Lotus Lamborghini,Lotus,
1990,McLaren Honda,McLaren,
1990,Minardi Ford,Minardi,
1990,Onyx Ford,Onyx,
1990,Osella Ford,Osella,
1990,Tyrrell Ford,Tyrrell,
1990,Williams Renault,Williams,
1991,AGS Ford,AGS,
1991,Benetton Ford,Benetton,
1991,Brabham Yamaha,Brabham,
1991,Dallara Judd,Dallara,
1991,Ferrari,Ferrari,
1991,Fondmetal Ford,Fondmetal,
1991,Footwork Porsche,Footwork,
1991,Jordan Ford,Jordan,
1991,Lambo Lamborghini,Lamborghini,
1991,Leyton House Ilmor,Leyton House,
1991,Ligier Lamborghini,Ligier,
1991,Lola Ford,Lola,
1991,Lotus Judd,Lotus,
1991,McLaren Honda,McLaren,
1991,Minardi Ferrari,Minardi,
1991,Tyrrell Honda,Tyrrell,
1991,Williams Renault,Williams,
1992,Benetton Ford,Benetton,
1992,Brabham Judd,Brabham,
1992,Dallara Ferrari,Dallara,
1992,Ferrari,Ferrari,
1992,Fondmetal Ford,Fondmetal,
1992,Footwork Mugen Honda,Footwork,
1992,Jordan Yamaha,Jordan,
1992,Ligier Renault,Ligier,
1992,Lotus Ford,Lotus,
1992,March Ilmor,March,
1992,McLaren Honda,McLaren,
1992,Minardi Lamborghini,Minardi,
1992,Moda Judd,Moda,
1992,Tyrrell Ilmor,Tyrrell,
1992,Venturi Lamborghini,Venturi,
1992,Williams Renault,Williams,
1993,Benetton Ford,Benetton,
1993,Ferrari,Ferrari,
1993,Footwork Mugen Honda,Footwork,
1993,Jordan Hart,Jordan,
1993,Larrousse Lamborghini,Larrousse,
1993,Ligier Renault,Ligier,
1993,Lola Ferrari,Lola,
1993,Lotus Ford,Lotus,
1993,McLaren Ford,McLaren,
1993,Minardi Ford,Minardi,
1993,Sauber,Sauber,
1993,Tyrrell Yamaha,Tyrrell,
1993,Williams Renault,Williams,
1994,Benetton Ford,Benetton,
1994,Ferrari,Ferrari,
1994,Footwork Ford,Footwork,
1994,Jordan Hart,Jordan,
1994,Larrousse Ford,Larrousse,
1994,Ligier Renault,Ligier,
1994,Lotus Mugen Honda,Lotus,
1994,McLaren Peugeot,McLaren,
1994,Minardi Ford,Minardi,
1994,Pacific Ilmor,Pacific,
1994,Sauber Mercedes,Sauber,
1994,Simtek Ford,Simtek,
1994,Tyrrell Yamaha,Tyrrell,
1994,Williams Renault,Williams,
1995,Benetton Renault,Benetton,
1995,Ferrari,Ferrari,
1995,Footwork Hart,Footwork,
1995,Forti Ford,Forti,
1995,Jordan Peugeot,Jordan,
1995,Ligier Mugen Honda,Ligier,
1995,McLaren Mercedes,McLaren,
1995,Minardi Ford,Minardi,
1995,Pacific Ilmor,Pacific,
1995,Sauber Ford,Sauber,
