year,round,race_date,race_name,race_url
1955,2,Monaco,22 May 1955,/en/results.html/1955/races/136/monaco/race-result.html
1955,3,Indianapolis 500,30 May 1955,/en/results.html/1955/races/137/indianapolis-500/race-result.html
1955,4,Belgium,05 Jun 1955,/en/results.html/1955/races/138/belgium/race-result.html
1955,5,Netherlands,19 Jun 1955,/en/results.html/1955/races/139/netherlands/race-result.html
1955,6,Great Britain,16 Jul 1955,/en/results.html/1955/races/140/great-britain/race-result.html
1955,7,Italy,11 Sep 1955,/en/results.html/1955/races/141/italy/race-result.html
1956,2,Argentina,22 Jan 1956,/en/results.html/1956/races/142/argentina/race-result.html
1956,3,Monaco,13 May 1956,/en/results.html/1956/races/143/monaco/race-result.html
1956,4,Indianapolis 500,30 May 1956,/en/results.html/1956/races/144/indianapolis-500/race-result.html
1956,5,Belgium,03 Jun 1956,/en/results.html/1956/races/145/belgium/race-result.html
1956,6,France,01 Jul 1956,/en/results.html/1956/races/146/france/race-result.html
1956,7,Great Britain,14 Jul 1956,/en/results.html/1956/races/147/great-britain/race-result.html
1956,8,Germany,05 Aug 1956,/en/results.html/1956/races/148/germany/race-result.html
1956,9,Italy,02 Sep 1956,/en/results.html/1956/races/149/italy/race-result.html
1957,1,Argentina,13 Jan 1957,/en/results.html/1957/races/150/argentina/race-result.html
1957,2,Monaco,19 May 1957,/en/results.html/1957/races/151/monaco/race-result.html
1957,3,Indianapolis 500,30 May 1957,/en/results.html/1957/races/152/indianapolis-500/race-result.html
1957,4,France,07 Jul 1957,/en/results.html/1957/races/153/france/race-result.html
1957,5,Great Britain,20 Jul 1957,/en/results.html/1957/races/154/great-britain/race-result.html
1957,7,Germany,04 Aug 1957,/en/results.html/1957/races/155/germany/race-result.html
1957,8,Pescara,18 Aug 1957,/en/results.html/1957/races/156/pescara/race-result.html
1957,9,Italy,08 Sep 1957,/en/results.html/1957/races/157/italy/race-result.html
1958,1,Argentina,19 Jan 1958,/en/results.html/1958/races/158/argentina/race-result.html
1958,2,Monaco,18 May 1958,/en/results.html/1958/races/159/monaco/race-result.html
1958,3,Netherlands,26 May 1958,/en/results.html/1958/races/160/netherlands/race-result.html
1958,4,Indianapolis 500,30 May 1958,/en/results.html/1958/races/161/indianapolis-500/race-result.html
1958,5,Belgium,15 Jun 1958,/en/results.html/1958/races/162/belgium/race-result.html
1958,6,France,06 Jul 1958,/en/results.html/1958/races/163/france/race-result.html
1958,7,Great Britain,19 Jul 1958,/en/results.html/1958/races/164/great-britain/race-result.html
1958,8,Germany,03 Aug 1958,/en/results.html/1958/races/165/germany/race-result.html
1958,9,Portugal,24 Aug 1958,/en/results.html/1958/races/166/portugal/race-result.html
1958,10,Italy,07 Sep 1958,/en/results.html/1958/races/167/italy/race-result.html
1958,11,Morocco,19 Oct 1958,/en/results.html/1958/races/168/morocco/race-result.html
1959,1,Monaco,10 May 1959,/en/results.html/1959/races/169/monaco/race-result.html
1959,2,Indianapolis 500,30 May 1959,/en/results.html/1959/races/170/indianapolis-500/race-result.html
1959,3,Netherlands,31 May 1959,/en/results.html/1959/races/171/netherlands/race-result.html
1959,4,France,05 Jul 1959,/en/results.html/1959/races/172/france/race-result.html
1959,5,Great Britain,18 Jul 1959,/en/results.html/1959/races/173/great-britain/race-result.html
1959,6,Germany,02 Aug 1959,/en/results.html/1959/races/174/germany/race-result.html
1959,7,Portugal,23 Aug 1959,/en/results.html/1959/races/175/portugal/race-result.html
1959,8,Italy,13 Sep 1959,/en/results.html/1959/races/176/italy/race-result.html
1959,9,United States,12 Dec 1959,/en/results.html/1959/races/177/united-states/race-result.html
1960,1,Argentina,07 Feb 1960,/en/results.html/1960/races/178/argentina/race-result.html
1960,2,Monaco,29 May 1960,/en/results.html/1960/races/179/monaco/race-result.html
1960,3,Indianapolis 500,30 May 1960,/en/results.html/1960/races/180/indianapolis-500/race-result.html
1960,4,Netherlands,06 Jun 1960,/en/results.html/1960/races/181/netherlands/race-result.html
1960,5,Belgium,19 Jun 1960,/en/results.html/1960/races/182/belgium/race-result.html
1960,6,France,03 Jul 1960,/en/results.html/1960/races/183/france/race-result.html
1960,7,Great Britain,16 Jul 1960,/en/results.html/1960/races/184/great-britain/race-result.html
1960,8,Portugal,14 Aug 1960,/en/results.html/1960/races/185/portugal/race-result.html
1960,9,Italy,04 Sep 1960,/en/results.html/1960/races/186/italy/race-result.html
1960,10,United States,20 Nov 1960,/en/results.html/1960/races/187/united-states/race-result.html
1961,1,Monaco,14 May 1961,/en/results.html/1961/races/188/monaco/race-result.html
1961,2,Netherlands,22 May 1961,/en/results.html/1961/races/189/netherlands/race-result.html
1961,3,Belgium,18 Jun 1961,/en/results.html/1961/races/190/belgium/race-result.html
1961,4,France,02 Jul 1961,/en/results.html/1961/races/191/france/race-result.html
1961,5,Great Britain,15 Jul 1961,/en/results.html/1961/races/192/great-britain/race-result.html
1961,6,Germany,06 Aug 1961,/en/results.html/1961/races/193/germany/race-result.html
1961,7,Italy,10 Sep 1961,/en/results.html/1961/races/194/italy/race-result.html
1961,8,United States,08 Oct 1961,/en/results.html/1961/races/195/united-states/race-result.html
1962,1,Netherlands,20 May 1962,/en/results.html/1962/races/196/netherlands/race-result.html
1962,2,Monaco,03 Jun 1962,/en/results.html/1962/races/197/monaco/race-result.html
1962,3,Belgium,17 Jun 1962,/en/results.html/1962/races/198/belgium/race-result.html
1962,4,France,08 Jul 1962,/en/results.html/1962/races/199/france/race-result.html
1962,5,Great Britain,21 Jul 1962,/en/results.html/1962/races/200/great-britain/race-result.html
1962,6,Germany,05 Aug 1962,/en/results.html/1962/races/201/germany/race-result.html
1962,7,Italy,16 Sep 1962,/en/results.html/1962/races/202/italy/race-result.html
1962,8,United States,07 Oct 1962,/en/results.html/1962/races/203/united-states/race-result.html
1962,9,South Africa,29 Dec 1962,/en/results.html/1962/races/204/south-africa/race-result.html
1963,1,Monaco,26 May 1963,/en/results.html/1963/races/205/monaco/race-result.html
1963,2,Belgium,09 Jun 1963,/en/results.html/1963/races/206/belgium/race-result.html
1963,3,Netherlands,23 Jun 1963,/en/results.html/1963/races/207/netherlands/race-result.html
1963,4,France,30 Jun 1963,/en/results.html/1963/races/208/france/race-result.html
1963,5,Great Britain,20 Jul 1963,/en/results.html/1963/races/209/great-britain/race-result.html
1963,6,Germany,04 Aug 1963,/en/results.html/1963/races/210/germany/race-result.html
1963,7,Italy,08 Sep 1963,/en/results.html/1963/races/211/italy/race-result.html
1963,8,United States,06 Oct 1963,/en/results.html/1963/races/212/united-states/race-result.html
1963,9,Mexico,27 Oct 1963,/en/results.html/1963/races/213/mexico/race-result.html
1963,10,South Africa,28 Dec 1963,/en/results.html/1963/races/214/south-africa/race-result.html
1964,1,Monaco,10 May 1964,/en/results.html/1964/races/215/monaco/race-result.html
1964,2,Netherlands,24 May 1964,/en/results.html/1964/races/216/netherlands/race-result.html
1964,3,Belgium,14 Jun 1964,/en/results.html/1964/races/217/belgium/race-result.html
1964,4,France,28 Jun 1964,/en/results.html/1964/races/218/france/race-result.html
1964,5,Great Britain,11 Jul 1964,/en/results.html/1964/races/219/great-britain/race-result.html
1964,6,Germany,02 Aug 1964,/en/results.html/1964/races/220/germany/race-result.html
1964,7,Austria,23 Aug 1964,/en/results.html/1964/races/221/austria/race-result.html
1964,8,Italy,06 Sep 1964,/en/results.html/1964/races/222/italy/race-result.html
1964,9,United States,04 Oct 1964,/en/results.html/1964/races/223/united-states/race-result.html
1964,10,Mexico,25 Oct 1964,/en/results.html/1964/races/224/mexico/race-result.html
1965,1,South Africa,01 Jan 1965,/en/results.html/1965/races/225/south-africa/race-result.html
1965,2,Monaco,30 May 1965,/en/results.html/1965/races/226/monaco/race-result.html
1965,3,Belgium,13 Jun 1965,/en/results.html/1965/races/227/belgium/race-result.html
1965,4,France,27 Jun 1965,/en/results.html/1965/races/228/france/race-result.html
1965,5,Great Britain,10 Jul 1965,/en/results.html/1965/races/229/great-britain/race-result.html
1965,6,Netherlands,18 Jul 1965,/en/results.html/1965/races/230/netherlands/race-result.html
1965,7,Germany,01 Aug 1965,/en/results.html/1965/races/231/germany/race-result.html
1965,8,Italy,12 Sep 1965,/en/results.html/1965/races/232/italy/race-result.html
1965,9,United States,03 Oct 1965,/en/results.html/1965/races/233/united-states/race-result.html
1965,10,Mexico,24 Oct 1965,/en/results.html/1965/races/234/mexico/race-result.html
1966,1,Monaco,22 May 1966,/en/results.html/1966/races/235/monaco/race-result.html
1966,2,Belgium,12 Jun 1966,/en/results.html/1966/races/236/belgium/race-result.html
1966,3,France,03 Jul 1966,/en/results.html/1966/races/237/france/race-result.html
1966,4,Great Britain,16 Jul 1966,/en/results.html/1966/races/238/great-britain/race-result.html
1966,5,Netherlands,24 Jul 1966,/en/results.html/1966/races/239/netherlands/race-result.html
1966,6,Germany,07 Aug 1966,/en/results.html/1966/races/240/germany/race-result.html
1966,7,Italy,04 Sep 1966,/en/results.html/1966/races/241/italy/race-result.html
1966,8,United States,02 Oct 1966,/en/results.html/1966/races/242/united-states/race-result.html
1966,9,Mexico,23 Oct 1966,/en/results.html/1966/races/243/mexico/race-result.html
1967,1,South Africa,02 Jan 1967,/en/results.html/1967/races/244/south-africa/race-result.html
1967,2,Monaco,07 May 1967,/en/results.html/1967/races/245/monaco/race-result.html
1967,3,Netherlands,04 Jun 1967,/en/results.html/1967/races/246/netherlands/race-result.html
1967,4,Belgium,18 Jun 1967,/en/results.html/1967/races/247/belgium/race-result.html
1967,5,France,02 Jul 1967,/en/results.html/1967/races/248/france/race-result.html
1967,6,Great Britain,15 Jul 1967,/en/results.html/1967/races/249/great-britain/race-result.html
1967,7,Germany,06 Aug 1967,/en/results.html/1967/races/250/germany/race-result.html
1967,8,Canada,27 Aug 1967,/en/results.html/1967/races/251/canada/race-result.html
1967,9,Italy,10 Sep 1967,/en/results.html/1967/races/252/italy/race-result.html
1967,10,United States,01 Oct 1967,/en/results.html/1967/races/253/united-states/race-result.html
1967,11,Mexico,22 Oct 1967,/en/results.html/1967/races/254/mexico/race-result.html
1968,1,South Africa,01 Jan 1968,/en/results.html/1968/races/255/south-africa/race-result.html
1968,2,Spain,12 May 1968,/en/results.html/1968/races/256/spain/race-result.html
1968,3,Monaco,26 May 1968,/en/results.html/1968/races/257/monaco/race-result.html
1968,4,Belgium,09 Jun 1968,/en/results.html/1968/races/258/belgium/race-result.html
1968,5,Netherlands,23 Jun 1968,/en/results.html/1968/races/259/netherlands/race-result.html
1968,6,France,07 Jul 1968,/en/results.html/1968/races/260/france/race-result.html
1968,7,Great Britain,20 Jul 1968,/en/results.html/1968/races/261/great-britain/race-result.html
1968,8,Germany,04 Aug 1968,/en/results.html/1968/races/262/germany/race-result.html
1968,9,Italy,08 Sep 1968,/en/results.html/1968/races/263/italy/race-result.html
1968,10,Canada,22 Sep 1968,/en/results.html/1968/races/264/canada/race-result.html
1968,11,United States,06 Oct 1968,/en/results.html/1968/races/265/united-states/race-result.html
1968,12,Mexico,03 Nov 1968,/en/results.html/1968/races/266/mexico/race-result.html
1969,1,South Africa,01 Mar 1969,/en/results.html/1969/races/267/south-africa/race-result.html
1969,2,Spain,04 May 1969,/en/results.html/1969/races/268/spain/race-result.html
1969,3,Monaco,18 May 1969,/en/results.html/1969/races/269/monaco/race-result.html
1969,4,Netherlands,21 Jun 1969,/en/results.html/1969/races/270/netherlands/race-result.html
1969,5,France,06 Jul 1969,/en/results.html/1969/races/271/france/race-result.html
1969,6,Great Britain,19 Jul 1969,/en/results.html/1969/races/272/great-britain/race-result.html
1969,7,Germany,03 Aug 1969,/en/results.html/1969/races/273/germany/race-result.html
1969,8,Italy,07 Sep 1969,/en/results.html/1969/races/274/italy/race-result.html
1969,9,Canada,20 Sep 1969,/en/results.html/1969/races/275/canada/race-result.html
1969,10,United States,05 Oct 1969,/en/results.html/1969/races/276/united-states/race-result.html
1969,11,Mexico,19 Oct 1969,/en/results.html/1969/races/277/mexico/race-result.html
1970,1,South Africa,07 Mar 1970,/en/results.html/1970/races/278/south-africa/race-result.html
1970,2,Spain,19 Apr 1970,/en/results.html/1970/races/279/spain/race-result.html
1970,3,Monaco,10 May 1970,/en/results.html/1970/races/280/monaco/race-result.html
1970,4,Belgium,07 Jun 1970,/en/results.html/1970/races/281/belgium/race-result.html
1970,5,Netherlands,21 Jun 1970,/en/results.html/1970/races/282/netherlands/race-result.html
1970,6,France,05 Jul 1970,/en/results.html/1970/races/283/france/race-result.html
1970,7,Great Britain,18 Jul 1970,/en/results.html/1970/races/284/great-britain/race-result.html
1970,8,Germany,02 Aug 1970,/en/results.html/1970/races/285/germany/race-result.html
1970,9,Austria,16 Aug 1970,/en/results.html/1970/races/286/austria/race-result.html
1970,10,Italy,06 Sep 1970,/en/results.html/1970/races/287/italy/race-result.html
1970,11,Canada,20 Sep 1970,/en/results.html/1970/races/288/canada/race-result.html
1970,12,United States,04 Oct 1970,/en/results.html/1970/races/289/united-states/race-result.html
1970,13,Mexico,25 Oct 1970,/en/results.html/1970/races/290/mexico/race-result.html
1971,1,South Africa,06 Mar 1971,/en/results.html/1971/races/291/south-africa/race-result.html
1971,2,Spain,18 Apr 1971,/en/results.html/1971/races/292/spain/race-result.html
1971,3,Monaco,23 May 1971,/en/results.html/1971/races/293/monaco/race-result.html
1971,4,Netherlands,20 Jun 1971,/en/results.html/1971/races/294/netherlands/race-result.html
1971,5,France,04 Jul 1971,/en/results.html/1971/races/295/france/race-result.html
1971,6,Great Britain,17 Jul 1971,/en/results.html/1971/races/296/great-britain/race-result.html
1971,7,Germany,01 Aug 1971,/en/results.html/1971/races/297/germany/race-result.html
1971,8,Austria,15 Aug 1971,/en/results.html/1971/races/298/austria/race-result.html
1971,9,Italy,05 Sep 1971,/en/results.html/1971/races/299/italy/race-result.html
1971,10,Canada,19 Sep 1971,/en/results.html/1971/races/300/canada/race-result.html
1971,11,United States,03 Oct 1971,/en/results.html/1971/races/301/united-states/race-result.html
1972,1,Argentina,23 Jan 1972,/en/results.html/1972/races/302/argentina/race-result.html
1972,2,South Africa,04 Mar 1972,/en/results.html/1972/races/303/south-africa/race-result.html
1972,3,Spain,01 May 1972,/en/results.html/1972/races/304/spain/race-result.html
1972,4,Monaco,14 May 1972,/en/results.html/1972/races/305/monaco/race-result.html
1972,5,Belgium,04 Jun 1972,/en/results.html/1972/races/306/belgium/race-result.html
1972,6,France,02 Jul 1972,/en/results.html/1972/races/307/france/race-result.html
1972,7,Great Britain,15 Jul 1972,/en/results.html/1972/races/308/great-britain/race-result.html
1972,8,Germany,30 Jul 1972,/en/results.html/1972/races/309/germany/race-result.html
1972,9,Austria,13 Aug 1972,/en/results.html/1972/races/310/austria/race-result.html
1972,10,Italy,10 Sep 1972,/en/results.html/1972/races/311/italy/race-result.html
1972,11,Canada,24 Sep 1972,/en/results.html/1972/races/312/canada/race-result.html
1972,12,United States,08 Oct 1972,/en/results.html/1972/races/313/united-states/race-result.html
1973,1,Argentina,28 Jan 1973,/en/results.html/1973/races/314/argentina/race-result.html
1973,2,Brazil,11 Feb 1973,/en/results.html/1973/races/315/brazil/race-result.html
1973,3,South Africa,03 Mar 1973,/en/results.html/1973/races/316/south-africa/race-result.html
1973,4,Spain,29 Apr 1973,/en/results.html/1973/races/317/spain/race-result.html
1973,5,Belgium,20 May 1973,/en/results.html/1973/races/318/belgium/race-result.html
1973,6,Monaco,03 Jun 1973,/en/results.html/1973/races/319/monaco/race-result.html
1973,7,Sweden,17 Jun 1973,/en/results.html/1973/races/320/sweden/race-result.html
1973,8,France,01 Jul 1973,/en/results.html/1973/races/321/france/race-result.html
1973,9,Great Britain,14 Jul 1973,/en/results.html/1973/races/322/great-britain/race-result.html
1973,10,Netherlands,29 Jul 1973,/en/results.html/1973/races/323/netherlands/race-result.html
1973,11,Germany,05 Aug 1973,/en/results.html/1973/races/324/germany/race-result.html
1973,12,Austria,19 Aug 1973,/en/results.html/1973/races/325/austria/race-result.html
1973,13,Italy,09 Sep 1973,/en/results.html/1973/races/326/italy/race-result.html
1973,14,Canada,23 Sep 1973,/en/results.html/1973/races/327/canada/race-result.html
1973,15,United States,07 Oct 1973,/en/results.html/1973/races/328/united-states/race-result.html
1974,1,Argentina,13 Jan 1974,/en/results.html/1974/races/329/argentina/race-result.html
1974,2,Brazil,27 Jan 1974,/en/results.html/1974/races/330/brazil/race-result.html
1974,3,South Africa,30 Mar 1974,/en/results.html/1974/races/331/south-africa/race-result.html
1974,4,Spain,28 Apr 1974,/en/results.html/1974/races/332/spain/race-result.html
1974,5,Belgium,12 May 1974,/en/results.html/1974/races/333/belgium/race-result.html
1974,6,Monaco,26 May 1974,/en/results.html/1974/races/334/monaco/race-result.html
1974,7,Sweden,09 Jun 1974,/en/results.html/1974/races/335/sweden/race-result.html
1974,8,Netherlands,23 Jun 1974,/en/results.html/1974/races/336/netherlands/race-result.html
1974,9,France,07 Jul 1974,/en/results.html/1974/races/337/france/race-result.html
1974,10,Great Britain,20 Jul 1974,/en/results.html/1974/races/338/great-britain/race-result.html
1974,11,Germany,04 Aug 1974,/en/results.html/1974/races/339/germany/race-result.html
1974,12,Austria,18 Aug 1974,/en/results.html/1974/races/340/austria/race-result.html
1974,13,Italy,08 Sep 1974,/en/results.html/1974/races/341/italy/race-result.html
1974,14,Canada,22 Sep 1974,/en/results.html/1974/races/342/canada/race-result.html
1974,15,United States,06 Oct 1974,/en/results.html/1974/races/343/united-states/race-result.html
1975,1,Argentina,12 Jan 1975,/en/results.html/1975/races/344/argentina/race-result.html
1975,2,Brazil,26 Jan 1975,/en/results.html/1975/races/345/brazil/race-result.html
1975,3,South Africa,01 Mar 1975,/en/results.html/1975/races/346/south-africa/race-result.html
1975,4,Spain,27 Apr 1975,/en/results.html/1975/races/347/spain/race-result.html
1975,5,Monaco,11 May 1975,/en/results.html/1975/races/348/monaco/race-result.html
1975,6,Belgium,25 May 1975,/en/results.html/1975/races/349/belgium/race-result.html
1975,7,Sweden,08 Jun 1975,/en/results.html/1975/races/350/sweden/race-result.html
1975,8,Netherlands,22 Jun 1975,/en/results.html/1975/races/351/netherlands/race-result.html
1975,9,France,06 Jul 1975,/en/results.html/1975/races/352/france/race-result.html
1975,10,Great Britain,19 Jul 1975,/en/results.html/1975/races/353/great-britain/race-result.html
1975,11,Germany,03 Aug 1975,/en/results.html/1975/races/354/germany/race-result.html
1975,12,Austria,17 Aug 1975,/en/results.html/1975/races/355/austria/race-result.html
1975,13,Italy,07 Sep 1975,/en/results.html/1975/races/356/italy/race-result.html
1975,14,United States,05 Oct 1975,/en/results.html/1975/races/357/united-states/race-result.html
1976,1,Brazil,25 Jan 1976,/en/results.html/1976/races/358/brazil/race-result.html
1976,2,South Africa,06 Mar 1976,/en/results.html/1976/races/359/south-africa/race-result.html
1976,3,USA West,28 Mar 1976,/en/results.html/1976/races/360/usa-west/race-result.html
1976,4,Spain,02 May 1976,/en/results.html/1976/races/361/spain/race-result.html
1976,5,Belgium,16 May 1976,/en/results.html/1976/races/362/belgium/race-result.html
1976,6,Monaco,30 May 1976,/en/results.html/1976/races/363/monaco/race-result.html
1976,7,Sweden,13 Jun 1976,/en/results.html/1976/races/364/sweden/race-result.html
1976,8,France,04 Jul 1976,/en/results.html/1976/races/365/france/race-result.html
1976,9,Great Britain,18 Jul 1976,/en/results.html/1976/races/366/great-britain/race-result.html
1976,10,Germany,01 Aug 1976,/en/results.html/1976/races/367/germany/race-result.html
1976,11,Austria,15 Aug 1976,/en/results.html/1976/races/368/austria/race-result.html
1976,12,Netherlands,29 Aug 1976,/en/results.html/1976/races/369/netherlands/race-result.html
1976,13,Italy,12 Sep 1976,/en/results.html/1976/races/370/italy/race-result.html
1976,14,Canada,03 Oct 1976,/en/results.html/1976/races/371/canada/race-result.html
1976,15,USA East,10 Oct 1976,/en/results.html/1976/races/372/usa-east/race-result.html
1976,16,Japan,24 Oct 1976,/en/results.html/1976/races/373/japan/race-result.html
1977,1,Argentina,09 Jan 1977,/en/results.html/1977/races/374/argentina/race-result.html
1977,2,Brazil,23 Jan 1977,/en/results.html/1977/races/375/brazil/race-result.html
1977,3,South Africa,05 Mar 1977,/en/results.html/1977/races/376/south-africa/race-result.html
1977,4,USA West,03 Apr 1977,/en/results.html/1977/races/377/usa-west/race-result.html
1977,5,Spain,08 May 1977,/en/results.html/1977/races/378/spain/race-result.html
1977,6,Monaco,22 May 1977,/en/results.html/1977/races/379/monaco/race-result.html
1977,7,Belgium,05 Jun 1977,/en/results.html/1977/races/380/belgium/race-result.html
1977,8,Sweden,19 Jun 1977,/en/results.html/1977/races/381/sweden/race-result.html
1977,9,France,03 Jul 1977,/en/results.html/1977/races/382/france/race-result.html
1977,10,Great Britain,16 Jul 1977,/en/results.html/1977/races/383/great-britain/race-result.html
1977,11,Germany,31 Jul 1977,/en/results.html/1977/races/384/germany/race-result.html
1977,12,Austria,14 Aug 1977,/en/results.html/1977/races/385/austria/race-result.html
1977,13,Netherlands,28 Aug 1977,/en/results.html/1977/races/386/netherlands/race-result.html
1977,14,Italy,11 Sep 1977,/en/results.html/1977/races/387/italy/race-result.html
1977,15,USA East,02 Oct 1977,/en/results.html/1977/races/388/usa-east/race-result.html
1977,16,Canada,09 Oct 1977,/en/results.html/1977/races/389/canada/race-result.html
1977,17,Japan,23 Oct 1977,/en/results.html/1977/races/390/japan/race-result.html
1978,1,Argentina,15 Jan 1978,/en/results.html/1978/races/391/argentina/race-result.html
1978,2,Brazil,29 Jan 1978,/en/results.html/1978/races/392/brazil/race-result.html
1978,3,South Africa,04 Mar 1978,/en/results.html/1978/races/393/south-africa/race-result.html
1978,4,USA West,02 Apr 1978,/en/results.html/1978/races/394/usa-west/race-result.html
1978,5,Monaco,07 May 1978,/en/results.html/1978/races/395/monaco/race-result.html
1978,6,Belgium,21 May 1978,/en/results.html/1978/races/396/belgium/race-result.html
1978,7,Spain,04 Jun 1978,/en/results.html/1978/races/397/spain/race-result.html
1978,8,Sweden,17 Jun 1978,/en/results.html/1978/races/398/sweden/race-result.html
1978,9,France,02 Jul 1978,/en/results.html/1978/races/399/france/race-result.html
1978,10,Great Britain,16 Jul 1978,/en/results.html/1978/races/400/great-britain/race-result.html
1978,11,Germany,30 Jul 1978,/en/results.html/1978/races/401/germany/race-result.html
1978,12,Austria,13 Aug 1978,/en/results.html/1978/races/402/austria/race-result.html
1978,13,Netherlands,27 Aug 1978,/en/results.html/1978/races/403/netherlands/race-result.html
1978,14,Italy,10 Sep 1978,/en/results.html/1978/races/404/italy/race-result.html
1978,15,USA East,01 Oct 1978,/en/results.html/1978/races/405/usa-east/race-result.html
1978,16,Canada,08 Oct 1978,/en/results.html/1978/races/406/canada/race-result.html
1979,1,Argentina,21 Jan 1979,/en/results.html/1979/races/407/argentina/race-result.html
1979,2,Brazil,04 Feb 1979,/en/results.html/1979/races/408/brazil/race-result.html
1979,3,South Africa,03 Mar 1979,/en/results.html/1979/races/409/south-africa/race-result.html
1979,4,USA West,08 Apr 1979,/en/results.html/1979/races/410/usa-west/race-result.html
1979,5,Spain,29 Apr 1979,/en/results.html/1979/races/411/spain/race-result.html
1979,6,Belgium,13 May 1979,/en/results.html/1979/races/412/belgium/race-result.html
1979,7,Monaco,27 May 1979,/en/results.html/1979/races/413/monaco/race-result.html
1979,8,France,01 Jul 1979,/en/results.html/1979/races/414/france/race-result.html
1979,9,Great Britain,14 Jul 1979,/en/results.html/1979/races/415/great-britain/race-result.html
1979,10,Germany,29 Jul 1979,/en/results.html/1979/races/416/germany/race-result.html
1979,11,Austria,12 Aug 1979,/en/results.html/1979/races/417/austria/race-result.html
1979,12,Netherlands,26 Aug 1979,/en/results.html/1979/races/418/netherlands/race-result.html
1979,13,Italy,09 Sep 1979,/en/results.html/1979/races/419/italy/race-result.html
1979,14,Canada,30 Sep 1979,/en/results.html/1979/races/420/canada/race-result.html
1979,15,USA East,07 Oct 1979,/en/results.html/1979/races/421/usa-east/race-result.html
1980,1,Argentina,13 Jan 1980,/en/results.html/1980/races/80/argentina/race-result.html
1980,2,Brazil,27 Jan 1980,/en/results.html/1980/races/81/brazil/race-result.html
