year,team,wins,rank_win,races,win_percentage,rank_win_percentage,podium_spots_claimed,rank_podiums,podium_spots_available,podium_percentage,rank_podium_percentage,run_id,p_average,rank_p_average,perfect,delta,std,var,sum_rank,avg_rank,rank_composite
1999,McLaren,7,99,16,43.75,99,16,99,32,50,99,McLaren 1999,7.75,99,1.5,6.25,4.339738855,18.83333333,182,41,43
1997,Williams,8,99,17,47.05882353,99,15,99,34,44.11764706,99,Williams 1997,7.823529412,99,1.5,6.323529412,4.541273144,20.62316176,183,42.66666667,45
1964,Ferrari,3,99,10,30,99,10,99,22,45.45454545,99,Ferrari 1964,7.85,99,1.6,6.25,4.406399667,19.41635802,264,49,52
1977,Ferrari,4,99,17,23.52941176,99,16,99,35,45.71428571,99,Ferrari 1977,8,99,1.529411765,6.470588235,5.291502622,28,235,50.33333333,56
1958,Ferrari,2,99,11,18.18181818,99,14,99,30,46.66666667,99,Ferrari 1958,8.05,99,2.045454545,6.004545455,1.882013631,3.541975309,257,51,58
1989,McLaren,10,99,16,62.5,99,18,99,32,56.25,99,McLaren 1989,8.125,99,1.5,6.625,7.184474001,51.61666667,121,29,24
1956,Ferrari,5,99,8,62.5,99,10,99,21,47.61904762,99,Ferrari 1956,8.739285714,99,2.6875,6.051785714,2.745521245,7.537886905,202,34,33
1962,BRM,4,99,9,44.44444444,99,8,99,22,36.36363636,99,BRM 1962,8.75,99,1.777777778,6.972222222,4.916666667,24.17361111,268,49.66666667,53
1982,Williams,1,99,16,6.25,99,7,99,30,23.33333333,99,Williams 1982,8.933333333,99,1.40625,7.527083333,5.284298395,27.92380952,319,61.66666667,66
1986,McLaren,4,99,16,25,99,12,99,32,37.5,99,McLaren 1986,8.96875,99,1.5,7.46875,5.619812423,31.58229167,269,56,61
1961,Ferrari,5,99,8,62.5,99,14,99,24,58.33333333,99,Ferrari 1961,9.127083333,99,2.375,6.752083333,7.416722512,55.00777282,176,30.33333333,28
1976,McLaren,6,99,16,37.5,99,10,99,32,31.25,99,McLaren 1976,9.15625,99,1.5,7.65625,6.818403405,46.490625,257,56.33333333,62
1974,McLaren,4,99,15,26.66666667,99,10,99,45,22.22222222,99,McLaren 1974,9.455555556,99,2.033333333,7.422222222,4.819959604,23.23201058,292,61.66666667,66
1985,McLaren,6,99,16,37.5,99,12,99,32,37.5,99,McLaren 1985,9.5,99,1.5,8,4.792355023,22.96666667,244,54,60
1966,Brabham,4,99,9,44.44444444,99,9,99,24,37.5,99,Brabham 1966,9.514814815,99,2.277777778,7.237037037,4.624913246,21.38982253,267,50.66666667,57
1978,Lotus,8,99,16,50,99,14,99,41,34.14634146,99,Lotus 1978,9.645833333,99,1.78125,7.864583333,6.607760589,43.6625,209,50,54
1968,Lotus,5,99,12,41.66666667,99,9,99,35,25.71428571,99,Lotus 1968,9.715277778,99,2.083333333,7.631944444,3.351552168,11.23290194,282,58,63
1959,Cooper,5,99,9,55.55555556,99,13,99,24,54.16666667,99,Cooper 1959,9.801339286,99,3.777777778,6.023561508,2.135413037,4.559988839,208,39,38
1981,Brabham,3,99,15,20,99,7,99,29,24.13793103,99,Brabham 1981,9.866666667,99,1.466666667,8.4,5.183995517,26.87380952,323,64,69
1957,Maserati,4,99,8,50,99,10,99,21,47.61904762,99,Maserati 1957,10.17568027,99,4.1875,5.988180272,3.533930383,12.48866395,239,44,46
1983,Brabham,4,99,15,26.66666667,99,10,99,30,33.33333333,99,Brabham 1983,10.73333333,99,1.5,9.233333333,4.174183696,17.42380952,292,61.66666667,66
1960,Cooper,6,99,10,60,99,14,99,27,51.85185185,99,Cooper 1960,10.7771164,99,4.45,6.327116402,2.462860309,6.065680902,191,39.33333333,40
1994,Benetton,8,99,16,50,99,12,99,32,37.5,99,Benetton 1994,11.1875,99,1.5,9.6875,5.498105734,30.22916667,218,50,54
1965,Lotus,6,99,10,60,99,7,99,30,23.33333333,99,Lotus 1965,11.77166667,99,3,8.771666667,2.450838229,6.006608025,256,51.33333333,59
1972,Lotus,5,99,12,41.66666667,99,8,99,27,29.62962963,99,Lotus 1972,12.30555556,99,1.666666667,10.63888889,6.355556439,40.39309764,293,60.33333333,65
1970,Lotus,6,99,13,46.15384615,99,7,99,37,18.91891892,99,Lotus 1970,12.61923077,99,2.230769231,10.38846154,5.949719283,35.39915954,281,59.66666667,64
