year,team,wins,races,win_percentage,podium_spots_claimed,podium_spots_available,podium_percentage,run_id,p_average,perfect,delta,std,var
2002,Ferrari,15,17,88.23529411764706,27,34,79.41176470588235,Ferrari 2002,4.235294117647059,1.5,2.735294117647059,3.9730248514939137,15.784926470588234
2003,Ferrari,8,16,50.0,16,32,50.0,Ferrari 2003,6.09375,1.5,4.59375,4.424246640201395,19.573958333333334
2004,Ferrari,15,18,83.33333333333334,29,36,80.55555555555556,Ferrari 2004,3.3055555555555554,1.5,1.8055555555555554,2.573272629579655,6.621732026143792
2005,Renault,8,19,42.10526315789473,18,38,47.368421052631575,Renault 2005,6.684210526315789,1.5,5.184210526315789,5.4140006934587595,29.31140350877193
2006,Renault,8,18,44.44444444444444,19,36,52.77777777777778,Renault 2006,4.916666666666667,1.5,3.416666666666667,3.907948160291972,15.272058823529408
2007,Ferrari,9,17,52.94117647058824,22,34,64.70588235294117,Ferrari 2007,4.9411764705882355,1.5,3.4411764705882355,3.728615497662874,13.902573529411763
2008,McLaren,6,18,33.33333333333333,13,36,36.11111111111111,McLaren 2008,6.555555555555555,1.5,5.055555555555555,3.6294906825034126,13.173202614379086
2009,Brawn GP,8,17,47.05882352941176,15,34,44.11764705882353,Brawn GP 2009,4.882352941176471,1.5,3.382352941176471,3.140110526342514,9.86029411764706
2010,Red Bull,9,19,47.368421052631575,20,38,52.63157894736842,Red Bull 2010,6.052631578947368,1.5,4.552631578947368,5.206552327068549,27.108187134502927
2011,Red Bull,12,19,63.1578947368421,27,38,71.05263157894737,Red Bull 2011,3.473684210526316,1.5,1.973684210526316,3.207948826355343,10.290935672514623
2012,Red Bull,7,20,35.0,14,40,35.0,Red Bull 2012,6.475,1.5,4.975,4.8026171593150515,23.065131578947373
2013,Red Bull,13,19,68.42105263157895,24,38,63.1578947368421,Red Bull 2013,4.815789473684211,1.5,3.3157894736842106,3.757254192136524,14.116959064327485
2014,Mercedes,16,19,84.21052631578947,31,38,81.57894736842105,Mercedes 2014,4.2105263157894735,1.5,2.7105263157894735,3.8884293797027714,15.119883040935678
2015,Mercedes,16,19,84.21052631578947,32,38,84.21052631578947,Mercedes 2015,3.210526315789474,1.5,1.710526315789474,3.220230277625448,10.36988304093567
2016,Mercedes,19,21,90.47619047619048,33,42,78.57142857142857,Mercedes 2016,3.4761904761904763,1.5,1.9761904761904763,4.578417276953333,20.961904761904776
2017,Mercedes,12,20,60.0,26,40,65.0,Mercedes 2017,3.175,1.5,1.6749999999999998,1.7790816673068632,3.1651315789473684
2018,Mercedes,11,21,52.38095238095239,25,42,59.523809523809526,Mercedes 2018,3.857142857142857,1.5,2.357142857142857,3.428348207019151,11.753571428571428
