,constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
68,69,24,9,21.0,4,4,0,792
69,70,24,11,8.0,8,8,0,792
70,71,24,10,0.0,10,10,0,792
71,72,24,8,0.0,11,11,0,792
72,73,25,1,58.0,3,3,2,793
73,74,25,2,74.0,2,2,1,793
74,75,25,3,15.0,6,6,0,793
75,76,25,4,12.0,7,7,0,793
76,77,25,5,7.0,9,9,0,793
77,78,25,6,91.0,1,1,5,793
78,79,25,7,23.0,5,5,0,793
79,80,25,9,24.0,4,4,0,793
80,81,25,11,8.0,8,8,0,793
81,82,25,10,0.0,10,10,0,793
82,83,25,8,0.0,11,11,0,793
83,84,26,1,72.0,3,3,3,794
84,85,26,2,82.0,2,2,1,794
85,86,26,3,16.0,6,6,0,794
86,87,26,4,15.0,7,7,0,794
87,88,26,5,7.0,9,9,0,794
88,89,26,6,96.0,1,1,5,794
89,90,26,7,25.0,4,4,0,794
90,91,26,9,24.0,5,5,0,794
91,92,26,11,14.0,8,8,0,794
92,93,26,10,0.0,10,10,0,794
93,94,26,8,0.0,11,11,0,794
94,95,27,1,86.0,3,3,4,795
95,96,27,2,89.0,2,2,1,795
96,97,27,3,16.0,7,7,0,795
97,98,27,4,23.0,6,6,0,795
98,99,27,5,8.0,9,9,0,795
99,100,27,6,105.0,1,1,5,795
100,101,27,7,25.0,4,4,0,795
101,102,27,9,24.0,5,5,0,795
102,103,27,11,14.0,8,8,0,795
103,104,27,10,0.0,10,10,0,795
104,105,27,8,0.0,11,11,0,795
105,106,28,1,100.0,2,2,5,796
106,107,28,2,90.0,3,3,1,796
107,108,28,3,16.0,7,7,0,796
108,109,28,4,31.0,5,5,0,796
109,110,28,5,8.0,9,9,0,796
110,111,28,6,111.0,1,1,5,796
111,112,28,7,35.0,4,4,0,796
112,113,28,9,24.0,6,6,0,796
113,114,28,11,14.0,8,8,0,796
114,115,28,10,0.0,10,10,0,796
115,116,28,8,0.0,11,11,0,796
116,117,29,1,113.0,2,2,5,797
117,118,29,2,96.0,3,3,1,797
118,119,29,3,17.0,7,7,0,797
119,120,29,4,31.0,5,5,0,797
120,121,29,5,11.0,9,9,0,797
121,122,29,6,121.0,1,1,6,797
122,123,29,7,41.0,4,4,0,797
123,124,29,9,24.0,6,6,0,797
124,125,29,11,14.0,8,8,0,797
125,126,29,10,0.0,10,10,0,797
126,127,29,8,0.0,11,11,0,797
127,128,30,1,119.0,2,2,5,798
128,129,30,2,107.0,3,3,1,798
129,130,30,3,17.0,7,7,0,798
130,131,30,4,36.0,5,5,0,798
131,132,30,5,17.0,8,8,0,798
132,133,30,6,131.0,1,1,7,798
133,134,30,7,41.0,4,4,0,798
134,135,30,9,25.0,6,6,0,798
135,136,30,11,14.0,9,9,0,798
136,137,30,10,0.0,10,10,0,798
137,138,30,8,0.0,11,11,0,798
138,139,31,1,129.0,2,2,5,799
139,140,31,2,117.0,3,3,1,799
140,141,31,3,17.0,8,8,0,799
141,142,31,4,41.0,5,5,0,799
142,143,31,5,27.0,6,6,1,799
143,144,31,6,134.0,1,1,7,799
144,145,31,7,41.0,4,4,0,799
145,146,31,9,26.0,7,7,0,799
146,147,31,11,14.0,9,9,0,799
147,148,31,10,0.0,10,10,0,799
148,149,31,8,0.0,11,11,0,799
149,150,32,1,135.0,1,1,5,800
150,151,32,2,120.0,3,3,1,800
151,152,32,3,26.0,8,8,0,800
152,153,32,4,51.0,4,4,1,800
153,154,32,5,31.0,6,6,1,800
154,155,32,6,134.0,2,2,7,800
155,156,32,7,46.0,5,5,0,800
156,157,32,9,28.0,7,7,0,800
157,158,32,11,14.0,9,9,0,800
158,159,32,10,0.0,10,10,0,800
159,160,32,8,0.0,11,11,0,800
160,161,33,1,135.0,2,2,5,801
161,162,33,2,128.0,3,3,1,801
162,163,33,3,26.0,8,8,0,801
163,164,33,4,66.0,4,4,2,801
164,165,33,5,34.0,6,6,1,801
165,166,33,6,142.0,1,1,7,801
166,167,33,7,50.0,5,5,0,801
167,168,33,9,29.0,7,7,0,801
168,169,33,11,14.0,9,9,0,801
169,170,33,10,0.0,10,10,0,801
170,171,33,8,0.0,11,11,0,801
171,1643,34,8,0.0,11,11,0,802
172,1642,34,10,0.0,10,10,0,802
173,1641,34,11,14.0,9,9,0,802
174,1640,34,9,29.0,7,7,0,802
175,1639,34,7,52.0,5,5,0,802
176,1638,34,6,156.0,1,1,7,802
177,1637,34,5,34.0,6,6,1,802
178,1636,34,4,72.0,4,4,2,802
179,1635,34,3,26.0,8,8,0,802
180,1634,34,2,135.0,3,3,1,802
181,1633,34,1,145.0,2,2,6,802
182,183,35,1,151.0,2,2,6,803
183,184,35,2,135.0,3,3,1,803
184,185,35,3,26.0,8,8,0,803
185,186,35,4,80.0,4,4,2,803
186,187,35,5,39.0,6,6,1,803
187,188,35,6,172.0,1,1,8,803
188,189,35,7,56.0,5,5,0,803
189,190,35,9,29.0,7,7,0,803
190,191,35,11,14.0,9,9,0,803
191,192,35,10,0.0,10,10,0,803
192,193,35,8,0.0,11,11,0,803
193,25742,36,5,0.0,9,9,0,769
194,25741,36,9,0.0,8,8,0,769
195,25740,36,8,0.0,7,7,0,769
196,25739,36,11,0.0,6,6,0,769
197,25738,36,7,1.0,5,5,0,769
198,25737,36,3,2.0,4,4,0,769
199,25736,36,4,4.0,3,3,0,769
200,25735,36,2,5.0,2,2,0,769
201,25734,36,1,14.0,11,E,0,769
202,25733,36,6,13.0,1,1,1,769
203,25743,36,12,0.0,10,10,0,769
204,25753,37,5,0.0,9,9,0,770
205,25752,37,9,0.0,6,6,0,770
206,25751,37,8,0.0,8,8,0,770
207,25750,37,11,0.0,7,7,0,770
208,25749,37,7,3.0,4,4,0,770
209,25748,37,3,2.0,5,5,0,770
210,25747,37,4,8.0,3,3,0,770
211,25746,37,2,10.0,2,2,0,770
212,25745,37,1,32.0,11,E,1,770
213,25744,37,6,23.0,1,1,1,770
214,25754,37,12,0.0,10,10,0,770
215,25764,38,5,0.0,9,9,0,771
216,25763,38,9,0.0,6,6,0,771
217,25762,38,8,0.0,8,8,0,771
218,25761,38,11,0.0,7,7,0,771
219,25760,38,7,5.0,4,4,0,771
220,25759,38,3,2.0,5,5,0,771
221,25758,38,4,9.0,3,3,0,771
222,25757,38,2,18.0,2,2,0,771
223,25756,38,1,44.0,11,E,1,771
224,25755,38,6,39.0,1,1,2,771
225,25765,38,12,0.0,10,10,0,771
226,25775,39,5,0.0,10,10,0,772
227,25774,39,9,4.0,6,6,0,772
228,25773,39,8,1.0,7,7,0,772
229,25772,39,11,0.0,8,8,0,772
230,25771,39,7,5.0,5,5,0,772
231,25770,39,3,5.0,4,4,0,772
232,25769,39,4,11.0,3,3,0,772
233,25768,39,2,23.0,2,2,0,772
234,25767,39,1,58.0,11,E,1,772
235,25766,39,6,49.0,1,1,3,772
236,25776,39,12,0.0,9,9,0,772
237,25786,40,5,0.0,8,8,0,773
238,25785,40,9,4.0,6,6,0,773
239,25784,40,8,1.0,7,7,0,773
240,25783,40,11,0.0,9,9,0,773
241,25782,40,7,5.0,5,5,0,773
242,25781,40,3,7.0,4,4,0,773
243,25780,40,4,16.0,3,3,0,773
244,25779,40,2,30.0,2,2,0,773
245,25778,40,1,76.0,11,E,2,773
246,25777,40,6,56.0,1,1,3,773
247,25787,40,12,0.0,10,10,0,773
248,25797,41,5,0.0,8,8,0,774
249,25796,41,9,4.0,6,6,0,774
250,25795,41,8,4.0,7,7,0,774
251,25794,41,11,0.0,9,9,0,774
252,25793,41,7,6.0,5,5,0,774
253,25792,41,3,13.0,4,4,0,774
254,25791,41,4,21.0,3,3,0,774
255,25790,41,2,38.0,2,2,0,774
256,25789,41,1,88.0,11,E,3,774
257,25788,41,6,60.0,1,1,3,774
258,25798,41,12,0.0,10,10,0,774
259,25808,42,5,0.0,8,8,0,775
260,25807,42,9,6.0,6,6,0,775
261,25806,42,8,4.0,7,7,0,775
262,25805,42,11,0.0,9,9,0,775
263,25804,42,7,9.0,5,5,0,775
264,25803,42,3,13.0,4,4,0,775
265,25802,42,4,25.0,3,3,0,775
266,25801,42,2,39.0,2,2,0,775
267,25800,42,1,106.0,11,E,4,775
268,25799,42,6,71.0,1,1,3,775
269,25809,42,12,0.0,10,10,0,775
270,25819,43,5,0.0,9,9,0,776
271,25818,43,9,6.0,6,6,0,776
272,25817,43,8,4.0,7,7,0,776
273,25816,43,11,1.0,8,8,0,776
274,25815,43,7,9.0,5,5,0,776
275,25814,43,3,13.0,4,4,0,776
276,25813,43,4,28.0,3,3,0,776
277,25812,43,2,48.0,2,2,0,776
278,25811,43,1,114.0,11,E,4,776
279,25810,43,6,89.0,1,1,4,776
280,25820,43,12,0.0,10,10,0,776
281,25830,44,5,0.0,9,9,0,777
282,25829,44,9,6.0,6,6,0,777
283,25828,44,8,4.0,7,7,0,777
284,25827,44,11,1.0,8,8,0,777
285,25826,44,7,9.0,5,5,0,777
286,25825,44,3,13.0,4,4,0,777
287,25824,44,4,31.0,3,3,0,777
288,25823,44,2,56.0,2,2,0,777
289,25822,44,1,128.0,11,E,5,777
290,25821,44,6,103.0,1,1,5,777
291,25831,44,12,0.0,10,10,0,777
292,25841,45,5,0.0,9,9,0,778
293,25840,45,9,16.0,5,5,0,778
294,25839,45,8,4.0,7,7,0,778
295,25838,45,11,1.0,8,8,0,778
296,25837,45,7,9.0,6,6,0,778
297,25836,45,3,18.0,4,4,0,778
298,25835,45,4,32.0,3,3,0,778
299,25834,45,2,61.0,2,2,0,778
300,25833,45,1,138.0,11,E,5,778
301,25832,45,6,111.0,1,1,5,778
302,25842,45,12,0.0,10,10,0,778
303,25852,46,5,0.0,9,9,0,779
304,25851,46,9,16.0,5,5,0,779
305,25850,46,8,4.0,7,7,0,779
306,25849,46,11,1.0,8,8,0,779
307,25848,46,7,12.0,6,6,0,779
308,25847,46,3,20.0,4,4,0,779
309,25846,46,4,33.0,3,3,0,779
310,25845,46,2,71.0,2,2,0,779
311,25844,46,1,138.0,11,E,6,779
312,25843,46,6,119.0,1,1,5,779
313,25853,46,12,0.0,10,10,0,779
314,25863,47,5,0.0,9,9,0,780
315,25862,47,9,16.0,5,5,0,780
316,25861,47,8,4.0,7,7,0,780
317,25860,47,11,1.0,8,8,0,780
318,25859,47,7,12.0,6,6,0,780
319,25858,47,3,22.0,4,4,0,780
320,25857,47,4,36.0,3,3,0,780
321,25856,47,2,77.0,2,2,0,780
322,25855,47,1,148.0,11,E,6,780
323,25854,47,6,137.0,1,1,6,780
324,25864,47,12,0.0,10,10,0,780
325,25874,48,5,0.0,9,9,0,781
326,25873,48,9,16.0,5,5,0,781
327,25872,48,8,4.0,7,7,0,781
328,25871,48,11,2.0,8,8,0,781
329,25870,48,7,12.0,6,6,0,781
330,25869,48,3,25.0,4,4,0,781
331,25868,48,4,38.0,3,3,0,781
332,25867,48,2,86.0,2,2,0,781
333,25866,48,1,166.0,11,E,7,781
334,25865,48,6,143.0,1,1,6,781
335,25875,48,12,0.0,10,10,0,781
336,25885,49,5,0.0,9,9,0,782
337,25884,49,9,18.0,5,5,0,782
338,25883,49,8,4.0,7,7,0,782
339,25882,49,11,2.0,8,8,0,782
340,25881,49,7,12.0,6,6,0,782
341,25880,49,3,28.0,4,4,0,782
342,25879,49,4,39.0,3,3,0,782
343,25878,49,2,90.0,2,2,0,782
344,25877,49,1,192.0,11,E,7,782
345,25876,49,6,161.0,1,1,7,782
346,25886,49,12,0.0,10,10,0,782
347,25896,50,5,0.0,10,10,0,783
348,25895,50,9,23.0,5,5,0,783
349,25894,50,8,4.0,7,7,0,783
350,25893,50,11,2.0,8,8,0,783
351,25892,50,7,12.0,6,6,0,783
352,25891,50,3,28.0,4,4,0,783
353,25890,50,4,51.0,3,3,0,783
354,25889,50,2,92.0,2,2,0,783
355,25888,50,1,202.0,11,E,8,783
356,25887,50,6,170.0,1,1,7,783
357,25897,50,12,1.0,9,9,0,783
358,25907,51,5,8.0,7,7,0,784
359,25906,51,9,24.0,5,5,0,784
360,25905,51,8,4.0,9,9,0,784
361,25904,51,11,6.0,8,8,0,784
362,25903,51,7,12.0,6,6,0,784
363,25902,51,3,28.0,4,4,0,784
364,25901,51,4,51.0,3,3,0,784
365,25900,51,2,94.0,2,2,0,784
366,25899,51,1,210.0,11,E,8,784
367,25898,51,6,186.0,1,1,8,784
368,25908,51,12,1.0,10,10,0,784
369,25918,52,5,8.0,7,7,0,785
370,25917,52,9,24.0,5,5,0,785
371,25916,52,8,4.0,9,9,0,785
372,25915,52,11,6.0,8,8,0,785
373,25914,52,7,13.0,6,6,0,785
374,25913,52,3,33.0,4,4,0,785
375,25912,52,4,51.0,3,3,0,785
376,25911,52,2,101.0,2,2,0,785
377,25910,52,1,118.0,11,E,8,785
378,25909,52,6,204.0,1,1,9,785
379,25919,52,12,1.0,10,10,0,785
380,6327,53,8,0.0,11,11,0,751
381,6326,53,13,0.0,10,10,0,751
382,6325,53,7,0.0,9,9,0,751
383,6324,53,2,0.0,8,8,0,751
384,6323,53,5,0.0,7,7,0,751
385,6322,53,9,1.0,6,6,0,751
386,6321,53,3,5.0,5,5,0,751
387,6320,53,11,5.0,4,4,0,751
388,6319,53,1,10.0,2,2,0,751
389,6318,53,6,8.0,3,3,0,751
390,6317,53,4,10.0,1,1,1,751
391,6338,54,8,0.0,11,11,0,752
392,6337,54,13,0.0,10,10,0,752
393,6336,54,7,1.0,7,7,0,752
394,6335,54,2,2.0,6,6,0,752
395,6334,54,5,0.0,9,9,0,752
396,6333,54,9,1.0,8,8,0,752
397,6332,54,3,5.0,5,5,0,752
398,6331,54,11,11.0,4,4,0,752
399,6330,54,1,15.0,3,3,0,752
400,6329,54,6,15.0,2,2,0,752
401,6328,54,4,28.0,1,1,2,752
402,6349,55,8,0.0,11,11,0,753
403,6348,55,13,0.0,10,10,0,753
404,6347,55,7,7.0,6,6,0,753
405,6346,55,2,10.0,5,5,0,753
406,6345,55,5,0.0,9,9,0,753
407,6344,55,9,2.0,8,8,0,753
408,6343,55,3,5.0,7,7,0,753
409,6342,55,11,13.0,4,4,0,753
410,6341,55,1,23.0,2,2,0,753
411,6340,55,6,15.0,3,3,0,753
412,6339,55,4,42.0,1,1,3,753
413,6360,56,8,0.0,11,11,0,754
414,6359,56,13,0.0,10,10,0,754
415,6358,56,7,7.0,7,7,0,754
416,6357,56,2,10.0,5,5,0,754
417,6356,56,5,0.0,9,9,0,754
418,6355,56,9,2.0,8,8,0,754
419,6354,56,3,8.0,6,6,0,754
420,6353,56,11,15.0,4,4,0,754
421,6352,56,1,33.0,2,2,0,754
422,6351,56,6,30.0,3,3,1,754
423,6350,56,4,51.0,1,1,3,754
424,6371,57,8,0.0,11,11,0,755
425,6370,57,13,0.0,10,10,0,755
426,6369,57,7,7.0,7,7,0,755
427,6368,57,2,11.0,5,5,0,755
428,6367,57,5,0.0,9,9,0,755
429,6366,57,9,2.0,8,8,0,755
430,6365,57,3,10.0,6,6,0,755
431,6364,57,11,19.0,4,4,0,755
432,6363,57,1,38.0,3,3,0,755
433,6362,57,6,46.0,2,2,2,755
434,6361,57,4,62.0,1,1,3,755
435,6382,58,8,0.0,11,11,0,756
436,6381,58,13,0.0,10,10,0,756
437,6380,58,7,7.0,7,7,0,756
438,6379,58,2,12.0,5,5,0,756
439,6378,58,5,0.0,9,9,0,756
440,6377,58,9,2.0,8,8,0,756
441,6376,58,3,10.0,6,6,0,756
442,6375,58,11,24.0,4,4,0,756
443,6374,58,1,42.0,3,3,0,756
444,6373,58,6,59.0,2,2,2,756
445,6372,58,4,78.0,1,1,4,756
446,6393,59,8,0.0,11,11,0,757
447,6392,59,13,0.0,10,10,0,757
448,6391,59,7,8.0,7,7,0,757
449,6390,59,2,14.0,5,5,0,757
450,6389,59,5,0.0,9,9,0,757
451,6388,59,9,8.0,8,8,0,757
452,6387,59,3,10.0,6,6,0,757
453,6386,59,11,29.0,4,4,0,757
454,6385,59,1,50.0,3,3,0,757
455,6384,59,6,63.0,2,2,2,757
456,6383,59,4,91.0,1,1,5,757
457,6404,60,8,0.0,11,11,0,758
458,6403,60,13,0.0,10,10,0,758
459,6402,60,7,8.0,7,7,0,758
460,6401,60,2,17.0,5,5,0,758
461,6400,60,5,0.0,9,9,0,758
462,6399,60,9,8.0,8,8,0,758
463,6398,60,3,10.0,6,6,0,758
464,6397,60,11,29.0,4,4,0,758
465,6396,60,1,59.0,3,3,0,758
466,6395,60,6,75.0,2,2,2,758
467,6394,60,4,106.0,1,1,6,758
468,6415,61,8,0.0,11,11,0,759
469,6414,61,13,0.0,10,10,0,759
470,6413,61,7,11.0,6,6,0,759
471,6412,61,2,19.0,5,5,0,759
472,6411,61,5,0.0,9,9,0,759
473,6410,61,9,9.0,8,8,0,759
474,6409,61,3,10.0,7,7,0,759
475,6408,61,11,29.0,4,4,0,759
476,6407,61,1,65.0,3,3,0,759
477,6406,61,6,87.0,2,2,2,759
478,6405,61,4,121.0,1,1,7,759
479,6426,62,8,0.0,11,11,0,760
480,6425,62,13,0.0,10,10,0,760
481,6424,62,7,16.0,6,6,0,760
482,6423,62,2,19.0,5,5,0,760
483,6422,62,5,1.0,9,9,0,760
484,6421,62,9,11.0,7,7,0,760
485,6420,62,3,10.0,8,8,0,760
486,6419,62,11,32.0,4,4,0,760
487,6418,62,1,65.0,3,3,0,760
488,6417,62,6,105.0,2,2,3,760
489,6416,62,4,131.0,1,1,7,760
490,6437,63,8,0.0,11,11,0,761
491,6436,63,13,0.0,10,10,0,761
492,6435,63,7,21.0,5,5,0,761
493,6434,63,2,20.0,6,6,0,761
494,6433,63,5,1.0,9,9,0,761
495,6432,63,9,11.0,7,7,0,761
496,6431,63,3,10.0,8,8,0,761
497,6430,63,11,32.0,4,4,0,761
498,6429,63,1,71.0,3,3,0,761
499,6428,63,6,121.0,2,2,4,761
500,6427,63,4,142.0,1,1,7,761
501,6448,64,8,0.0,11,11,0,762
502,6447,64,13,0.0,10,10,0,762
503,6446,64,7,23.0,5,5,0,762
504,6445,64,2,20.0,6,6,0,762
505,6444,64,5,1.0,9,9,0,762
506,6443,64,9,12.0,7,7,0,762
507,6442,64,3,10.0,8,8,0,762
508,6441,64,11,37.0,4,4,0,762
509,6440,64,1,77.0,3,3,0,762
510,6439,64,6,139.0,2,2,5,762
511,6438,64,4,149.0,1,1,7,762
512,6459,65,8,0.0,11,11,0,763
513,6458,65,13,0.0,10,10,0,763
514,6457,65,7,26.0,5,5,0,763
515,6456,65,2,26.0,6,6,0,763
516,6455,65,5,1.0,9,9,0,763
517,6454,65,9,16.0,7,7,0,763
518,6453,65,3,10.0,8,8,0,763
519,6452,65,11,52.0,4,4,1,763
520,6451,65,1,85.0,3,3,0,763
521,6450,65,6,142.0,2,2,5,763
522,6449,65,4,149.0,1,1,7,763
523,6470,66,8,0.0,11,11,0,764
524,6469,66,13,0.0,10,10,0,764
525,6468,66,7,28.0,5,5,0,764
526,6467,66,2,26.0,6,6,0,764
527,6466,66,5,1.0,9,9,0,764
528,6465,66,9,16.0,7,7,0,764
529,6464,66,3,10.0,8,8,0,764
530,6463,66,11,58.0,4,4,1,764
531,6462,66,1,89.0,3,3,0,764
532,6461,66,6,158.0,2,2,6,764
533,6460,66,4,160.0,1,1,7,764
534,6482,67,14,0.0,12,12,0,765
535,6481,67,8,0.0,11,11,0,765
536,6480,67,13,0.0,10,10,0,765
537,6479,67,7,30.0,6,6,0,765
538,6478,67,2,33.0,5,5,0,765
539,6477,67,5,1.0,9,9,0,765
540,6476,67,9,16.0,7,7,0,765
541,6475,67,3,10.0,8,8,0,765
542,6474,67,11,65.0,4,4,1,765
543,6473,67,1,97.0,3,3,0,765
544,6472,67,6,168.0,1,1,7,765
545,6471,67,4,165.0,2,2,7,765
546,6494,68,14,0.0,12,12,0,766
547,6493,68,8,0.0,11,11,0,766
548,6492,68,13,0.0,10,10,0,766
549,6491,68,7,30.0,6,6,0,766
550,6490,68,2,35.0,5,5,0,766
551,6489,68,5,1.0,9,9,0,766
552,6488,68,9,16.0,7,7,0,766
553,6487,68,3,11.0,8,8,0,766
554,6486,68,11,73.0,4,4,1,766
555,6485,68,1,101.0,3,3,0,766
556,6484,68,6,178.0,2,2,8,766
557,6483,68,4,179.0,1,1,7,766
558,6506,69,14,0.0,12,12,0,767
559,6505,69,8,0.0,11,11,0,767
560,6504,69,13,0.0,10,10,0,767
561,6503,69,7,35.0,6,6,0,767
562,6502,69,2,36.0,5,5,0,767
563,6501,69,5,1.0,9,9,0,767
564,6500,69,9,16.0,7,7,0,767
565,6499,69,3,11.0,8,8,0,767
566,6498,69,11,78.0,4,4,1,767
567,6497,69,1,105.0,3,3,0,767
568,6496,69,6,186.0,2,2,8,767
569,6495,69,4,195.0,1,1,8,767
570,6518,70,14,0.0,12,12,0,768
571,6517,70,8,0.0,11,11,0,768
572,6516,70,13,0.0,10,10,0,768
573,6515,70,7,35.0,6,6,0,768
574,6514,70,2,36.0,5,5,0,768
575,6513,70,5,1.0,9,9,0,768
576,6512,70,9,16.0,7,7,0,768
577,6511,70,3,11.0,8,8,0,768
578,6510,70,11,86.0,4,4,1,768
579,6509,70,1,110.0,3,3,0,768
580,6508,70,6,201.0,2,2,9,768
581,6507,70,4,206.0,1,1,8,768
582,567,71,4,16.0,1,1,1,732
583,568,71,6,8.0,2,2,0,732
584,569,71,9,7.0,3,3,0,732
585,570,71,3,4.0,4,4,0,732
586,571,71,1,4.0,5,5,0,732
587,572,71,7,0.0,6,6,0,732
588,573,71,15,0.0,7,7,0,732
589,574,71,17,0.0,8,8,0,732
590,575,71,18,0.0,9,9,0,732
591,576,72,4,26.0,1,1,2,733
592,577,72,6,10.0,4,4,0,733
593,578,72,9,11.0,3,3,0,733
594,579,72,3,10.0,5,5,0,733
595,580,72,1,9.0,6,6,0,733
596,581,72,7,12.0,2,2,0,733
597,582,72,15,0.0,7,7,0,733
598,583,72,17,0.0,8,8,0,733
599,584,72,18,0.0,9,9,0,733
600,1808,73,18,0.0,9,9,0,734
601,1807,73,17,0.0,8,8,0,734
602,1806,73,15,2.0,7,7,0,734
603,1805,73,7,25.0,2,2,0,734
604,1804,73,1,19.0,3,3,0,734
605,1803,73,3,13.0,4,4,0,734
606,1802,73,9,12.0,5,5,0,734
607,1801,73,6,10.0,6,6,0,734
608,1800,73,4,36.0,1,1,3,734
609,1817,74,18,0.0,9,9,0,735
610,1816,74,17,0.0,8,8,0,735
611,1815,74,15,7.0,7,7,0,735
612,1814,74,7,29.0,2,2,0,735
613,1813,74,1,25.0,3,3,0,735
614,1812,74,3,18.0,5,5,0,735
615,1811,74,9,13.0,6,6,0,735
616,1810,74,6,18.0,4,4,0,735
617,1809,74,4,46.0,1,1,4,735
618,24516,75,17,0.0,8,8,0,736
619,24515,75,16,0.0,10,10,0,736
620,24514,75,15,7.0,7,7,0,736
621,24513,75,7,40.0,2,2,0,736
622,24512,75,1,37.0,3,3,1,736
623,24511,75,3,21.0,4,4,0,736
624,24510,75,9,14.0,6,6,0,736
625,24509,75,6,18.0,5,5,0,736
626,24508,75,4,58.0,1,1,4,736
627,24517,75,18,0.0,9,9,0,736
628,612,76,4,63.0,1,1,4,737
629,613,76,6,21.0,5,5,0,737
630,614,76,9,14.0,6,6,0,737
631,615,76,3,35.0,4,4,0,737
632,616,76,1,51.0,2,2,2,737
633,617,76,7,43.0,3,3,0,737
634,618,76,15,7.0,7,7,0,737
635,619,76,17,0.0,8,8,0,737
636,620,76,18,0.0,9,9,0,737
637,621,77,4,76.0,1,1,5,738
638,622,77,6,31.0,5,5,0,738
639,623,77,9,19.0,6,6,0,738
640,624,77,3,43.0,4,4,0,738
641,625,77,1,53.0,2,2,2,738
642,626,77,7,44.0,3,3,0,738
643,627,77,15,7.0,7,7,0,738
644,628,77,17,0.0,8,8,0,738
645,629,77,18,0.0,10,10,0,738
646,630,77,16,0.0,9,9,0,738
647,1827,78,16,0.0,9,9,0,739
648,1826,78,18,0.0,10,10,0,739
649,1825,78,17,0.0,8,8,0,739
650,1824,78,15,12.0,7,7,0,739
651,1823,78,7,47.0,4,4,0,739
652,1822,78,1,63.0,2,2,3,739
653,1821,78,3,47.0,3,3,0,739
654,1820,78,9,22.0,6,6,0,739
655,1819,78,6,45.0,5,5,0,739
656,1818,78,4,76.0,1,1,5,739
657,1672,79,16,0.0,10,10,0,740
658,1671,79,18,7.0,9,9,0,740
659,1670,79,17,11.0,8,8,0,740
660,1669,79,15,12.0,7,7,0,740
661,1668,79,7,47.0,5,5,0,740
662,1667,79,1,63.0,2,2,3,740
663,1666,79,3,47.0,4,4,0,740
664,1665,79,9,22.0,6,6,0,740
665,1664,79,6,63.0,3,3,1,740
666,1663,79,4,76.0,1,1,5,740
667,651,80,4,89.0,1,1,6,741
668,652,80,6,69.0,3,3,1,741
669,653,80,9,22.0,6,6,0,741
670,654,80,3,47.0,5,5,0,741
671,655,80,1,71.0,2,2,3,741
672,656,80,7,53.0,4,4,0,741
673,657,80,15,13.0,7,7,0,741
