Row Labels,Count of constructor_clean
Ligier,1
Lola,1
Lotus,1
McLaren,1
Minardi,1
Sauber,1
Tyrrell,1
Williams,1
1994,14
Benetton,1
Ferrari,1
Footwork,1
Jordan,1
Larrousse,1
Ligier,1
Lotus,1
McLaren,1
Minardi,1
Pacific,1
Sauber,1
Simtek,1
Tyrrell,1
Williams,1
1995,13
Benetton,1
Ferrari,1
Footwork,1
Forti,1
Jordan,1
Ligier,1
McLaren,1
Minardi,1
Pacific,1
Sauber,1
Simtek,1
Tyrrell,1
Williams,1
1996,11
Benetton,1
Ferrari,1
Footwork,1
Forti,1
Jordan,1
Ligier,1
McLaren,1
Minardi,1
Sauber,1
Tyrrell,1
Williams,1
1997,11
Arrows,1
Benetton,1
Ferrari,1
Jordan,1
McLaren,1
Minardi,1
Prost,1
Sauber,1
Stewart,1
Tyrrell,1
Williams,1
1998,11
Arrows,1
Benetton,1
Ferrari,1
Jordan,1
McLaren,1
Minardi,1
Prost,1
Sauber,1
Stewart,1
Tyrrell,1
Williams,1
1999,11
Arrows,1
BAR,1
Benetton,1
Ferrari,1
Jordan,1
McLaren,1
Minardi,1
Prost,1
Sauber,1
Stewart,1
Williams,1
2000,11
Arrows,1
BAR,1
Benetton,1
Ferrari,1
Jaguar,1
Jordan,1
McLaren,1
Minardi,1
Prost,1
Sauber,1
Williams,1
2001,11
Arrows,1
BAR,1
Benetton,1
Ferrari,1
Jaguar,1
Jordan,1
McLaren,1
Minardi,1
Prost,1
Sauber,1
Williams,1
2002,11
Arrows,1
BAR,1
Ferrari,1
Jaguar,1
Jordan,1
McLaren,1
Minardi,1
Renault,1
Sauber,1
Toyota,1
Williams,1
2003,10
BAR,1
Ferrari,1
Jaguar,1
Jordan,1
McLaren,1
Minardi,1
Renault,1
Sauber,1
Toyota,1
Williams,1
2004,10
BAR,1
Ferrari,1
Jaguar,1
Jordan,1
McLaren,1
Minardi,1
Renault,1
Sauber,1
Toyota,1
Williams,1
2005,10
BAR,1
Ferrari,1
Jordan,1
McLaren,1
Minardi,1
Red Bull Racing,1
Renault,1
Sauber,1
Toyota,1
Williams,1
2006,11
Ferrari,1
Honda,1
McLaren,1
Midland,1
Red Bull Racing,1
Renault,1
Sauber,1
Super Aguri,1
Toro Rosso,1
Toyota,1
Williams,1
2007,11
Ferrari,1
Honda,1
McLaren,1
Red Bull Racing,1
Renault,1
Sauber,1
Spyker,1
Super Aguri,1
Toro Rosso,1
Toyota,1
Williams,1
2008,11
Ferrari,1
Force India,1
Honda,1
McLaren,1
Red Bull Racing,1
Renault,1
Sauber,1
Super Aguri,1
Toro Rosso,1
Toyota,1
Williams,1
2009,10
Brawn GP,1
Ferrari,1
Force India,1
McLaren,1
Red Bull Racing,1
Renault,1
Sauber,1
Toro Rosso,1
Toyota,1
Williams,1
2010,12
Ferrari,1
Force India,1
HRT,1
Lotus,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Renault,1
Sauber,1
Toro Rosso,1
Virgin,1
Williams,1
2011,12
Ferrari,1
Force India,1
HRT,1
Lotus,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Renault,1
Sauber,1
Toro Rosso,1
Virgin,1
Williams,1
2012,12
Caterham,1
Ferrari,1
Force India,1
HRT,1
Lotus,1
Marussia,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Sauber,1
Toro Rosso,1
Williams,1
2013,11
Caterham,1
Ferrari,1
Force India,1
Lotus,1
Marussia,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Sauber,1
Toro Rosso,1
Williams,1
2014,11
Caterham,1
Ferrari,1
Force India,1
Lotus,1
Marussia,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Sauber,1
Toro Rosso,1
Williams,1
2015,10
Ferrari,1
Force India,1
Lotus,1
Marussia,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Sauber,1
Toro Rosso,1
Williams,1
2016,11
Ferrari,1
Force India,1
Haas,1
Manor,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Renault,1
Sauber,1
Toro Rosso,1
Williams,1
2017,10
Ferrari,1
Force India,1
Haas,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Renault,1
Sauber,1
Toro Rosso,1
Williams,1
2018,10
Ferrari,1
Force India,1
Haas,1
McLaren,1
Mercedes,1
Red Bull Racing,1
Renault,1
Sauber,1
Toro Rosso,1
Williams,1
(blank),
(blank),
Grand Total,1048
