year,team,wins,rank_win,races,win_percentage,rank_win_percentage,podium_spots_claimed,rank_podiums,podium_spots_available,podium_percentage,rank_podium_percentage,run_id,p_average,rank_p_average,perfect,delta,std,var,sum_rank,avg_rank,rank_composite
2008,McLaren,6,37,18,33.33333333,60,13,42,36,36.11111111,57,McLaren 2008,6.555555556,28,1.5,5.055555556,3.629490683,13.17320261,224,44.8,49
2009,Brawn GP,8,23,17,47.05882353,41,15,32,34,44.11764706,44,Brawn GP 2009,4.882352941,12,1.5,3.382352941,3.140110526,9.860294118,152,30.4,29
2010,Red Bull,9,18,19,47.36842105,40,20,17,38,52.63157895,31,Red Bull 2010,6.052631579,21,1.5,4.552631579,5.206552327,27.10818713,127,25.4,23
2011,Red Bull,12,8,19,63.15789474,17,27,5,38,71.05263158,8,Red Bull 2011,3.473684211,4,1.5,1.973684211,3.207948826,10.29093567,42,8.4,7
2012,Red Bull,7,31,20,35,59,14,36,40,35,58,Red Bull 2012,6.475,27,1.5,4.975,4.802617159,23.06513158,211,42.2,44
2013,Red Bull,13,7,19,68.42105263,14,24,10,38,63.15789474,17,Red Bull 2013,4.815789474,11,1.5,3.315789474,3.757254192,14.11695906,59,11.8,10
2014,Mercedes,16,2,19,84.21052632,6,31,3,38,81.57894737,2,Mercedes 2014,4.210526316,8,1.5,2.710526316,3.88842938,15.11988304,21,4.2,3
2015,Mercedes,16,2,19,84.21052632,6,32,2,38,84.21052632,1,Mercedes 2015,3.210526316,2,1.5,1.710526316,3.220230278,10.36988304,13,2.6,1
2016,Mercedes,19,1,21,90.47619048,2,33,1,42,78.57142857,5,Mercedes 2016,3.476190476,5,1.5,1.976190476,4.578417277,20.96190476,14,2.8,2
2017,Mercedes,12,8,20,60,23,26,7,40,65,15,Mercedes 2017,3.175,1,1.5,1.675,1.779081667,3.165131579,54,10.8,8
2018,Mercedes,11,12,21,52.38095238,33,25,8,42,59.52380952,20,Mercedes 2018,3.857142857,6,1.5,2.357142857,3.428348207,11.75357143,79,15.8,12
